,id,age,country,practice_1,practice_2,sentence,question,set_id,sent_type,quest_type,ManipulationType,SentenceType,time,correct
22,615ccef2904d46414dd7437c95f3d0c8,53,UK,True,True,While the warrior fought the rhino retreated.,Did the rhino retreat?,set_30,GP_improb,simple_question,improb,GP,1222,True
23,64704cb59fb32f1c8cb87529cbb620dc,57,United Kingdom,True,True,The enemy retreated while the warrior fought.,Did the enemy retreat?,set_30,nonGP_prob,simple_question,prob,nonGP,2374,True
24,2ab9c449474ba4276a279b29dce08528,32,United States,True,True,The rhino retreated while the warrior fought.,Did the rhino retreat?,set_30,nonGP_improb,simple_question,improb,nonGP,2011,True
25,e48b5b184e699eba9f0ea2517ab0171b,40,UK,True,True,The rhino retreated while the warrior fought.,Did the warrior fight the rhino?,set_30,nonGP_improb,GP_question,improb,nonGP,1518,False
26,70d7c3ed3d54e823b9bb7c1775f46643,38,USA,True,True,While the warrior fought the rhino retreated.,Did the warrior fight the rhino?,set_30,GP_improb,GP_question,improb,GP,2212,False
27,08dd60c9b576a7f771917dc1fec1d055,32,United Kingdom,True,True,The rhino retreated while the warrior fought.,Did the warrior fight the rhino?,set_30,nonGP_improb,GP_question,improb,nonGP,329,True
28,be3614a762e8b864c53a56aa3de11008,21,UK,True,True,The rhino retreated while the warrior fought.,Did the warrior fight the rhino?,set_30,nonGP_improb,GP_question,improb,nonGP,2560,True
30,a29675523d26deda18b0ca8cc8800c5f,62,United Kingdom,True,True,While Bill ate the turkey sat on the table.,Did the turkey sit on the table?,set_32,GP_prob,simple_question,prob,GP,1995,True
31,9cf6e7b29a51da90cd4f912903dacebf,49,United Kingdom,True,True,While Harry chewed the book fell to the floor.,Did Harry chew the book?,set_31,GP_improb,GP_question,improb,GP,1758,True
32,c5ce30b9e0aeea41622c7eb6e0b40aaf,26,Scotland,True,True,While Bill ate the turkey sat on the table.,Did the turkey sit on the table?,set_32,GP_prob,simple_question,prob,GP,1921,True
33,dd6b7d4d0aef542c17b281cb34ebbd63,36,England,True,True,The book fell to the floor while Harry chewed.,Did Harry chew the book?,set_31,nonGP_improb,GP_question,improb,nonGP,2518,True
34,3e5f360841a420a44bf03362eb5ef40f,28,United Kingdom,True,True,While Bill ate the turkey sat on the table.,Did Bill eat the turkey?,set_32,GP_prob,GP_question,prob,GP,1788,False
35,3c99f60e59b92697d98646438d8e6370,40,UK,True,True,While Bill ate the baby sat on the table.,Did Bill eat the baby?,set_32,GP_improb,GP_question,improb,GP,1234,True
36,72f7ce4cee9c7752c5dabc250c76d167,37,UK,True,True,While Bill ate the turkey sat on the table.,Did Bill eat the turkey?,set_32,GP_prob,GP_question,prob,GP,6000,False
37,4c5d87201e492dc6e900b72106be6942,69,England,True,True,The rhino retreated while the warrior fought.,Did the warrior fight the rhino?,set_30,nonGP_improb,GP_question,improb,nonGP,2673,True
38,fb71bc276da3dd0c92dc0c24e8506ec4,43,uk,True,True,While Bill ate the baby sat on the table.,Did Bill eat the baby?,set_32,GP_improb,GP_question,improb,GP,1800,True
39,ff53c044fa3773b8407dcbb1e5b889b4,56,UK,True,True,While Bill ate the turkey sat on the table.,Did Bill eat the turkey?,set_32,GP_prob,GP_question,prob,GP,2185,False
40,3e99f8b4f3ec39e1bae35ac1ff545baa,49,England,True,True,The book fell to the floor while Harry chewed.,Did Harry chew the book?,set_31,nonGP_improb,GP_question,improb,nonGP,1491,True
41,4a45ef0b18a4fed9151c87a3e55eb69b,30,UK,True,True,The turkey sat on the table while Bill ate.,Did Bill eat the turkey?,set_32,nonGP_prob,GP_question,prob,nonGP,1901,True
42,aa5e392917657615de4dc8fac77a96c0,56,UK,True,True,The turkey sat on the table while Bill ate.,Did Bill eat the turkey?,set_32,nonGP_prob,GP_question,prob,nonGP,6000,False
43,74defd8bad88ac5f36364e3fdffaea05,34,United States,True,True,The turkey sat on the table while Bill ate.,Did Bill eat the turkey?,set_32,nonGP_prob,GP_question,prob,nonGP,4264,True
44,73f1888e1b062729f7439196b5c40e86,30,United Kingdom,True,True,While Bill ate the baby sat on the table.,Did Bill eat the baby?,set_32,GP_improb,GP_question,improb,GP,1104,True
46,f9d1c72a9c0831d3157f8c6c3247fe66,65,UK,True,True,The turkey sat on the table while Bill ate.,Did Bill eat the turkey?,set_32,nonGP_prob,GP_question,prob,nonGP,3740,True
47,340a6b7bf2a7d0da9ccc1f83925984d8,37,United Kingdom of Great Britain and Northern Ireland,True,True,While Janet baked the pressure rose in the oven.,Did Janet bake the pressure?,set_33,GP_improb,GP_question,improb,GP,4866,True
49,dc6ecbf56a4522a8331835b2df6e446c,53,UK,True,True,While the public cheered the rats left the restaurant.,Did the rats leave the restaurant?,set_34,GP_improb,simple_question,improb,GP,3920,True
50,0f5bf7a4147b3c0b62a23c098982d0cd,53,United Kingdom,True,True,While the public cheered the team left the restaurant.,Did the public cheer the team?,set_34,GP_prob,GP_question,prob,GP,1984,False
51,17dcf0cb6d41fe5f81660c33ef195d18,36,England,True,True,While the public cheered the rats left the restaurant.,Did the rats leave the restaurant?,set_34,GP_improb,simple_question,improb,GP,1404,True
52,da4bf5bc09ec601bd2ffaad4649c83ab,44,United Kingdom,True,True,While the public cheered the rats left the restaurant.,Did the public cheer the rats?,set_34,GP_improb,GP_question,improb,GP,1276,False
54,e609a1456c10cf584a66df64842742ec,53,UK,True,True,While the public cheered the rats left the restaurant.,Did the public cheer the rats?,set_34,GP_improb,GP_question,improb,GP,6000,False
56,82aaa9f77c20b3787e5095cbe5f48abd,54,uk,True,True,While the cleaner mopped the floor was filled with stains.,Was the floor filled with stains?,set_35,GP_prob,simple_question,prob,GP,1878,True
57,5da0cf61ecc817dd5b08e88683a9690a,65,Scotland,True,True,The rats left the restaurant while the public cheered.,Did the rats leave the restaurant?,set_34,nonGP_improb,simple_question,improb,nonGP,2165,True
58,8161c929f682debad3f0722b9978c271,21,United Kingdom,True,True,While the cleaner mopped the floor was filled with stains.,Did the cleaner mop the floor?,set_35,GP_prob,GP_question,prob,GP,897,False
59,b8272d98ee9b6923a3ece64174d7f015,20,UK,True,True,While the cleaner mopped the ceiling was filled with stains.,Did the cleaner mop the ceiling?,set_35,GP_improb,GP_question,improb,GP,4108,True
61,166f3fecc50f22cf48fd45c423052f51,51,uk,True,True,While the cleaner mopped the ceiling was filled with stains.,Was the ceiling filled with stains?,set_35,GP_improb,simple_question,improb,GP,1192,True
62,4098da16298a1d5bacdc1f8bcf624391,56,uk,True,True,The rats left the restaurant while the public cheered.,Did the public cheer the rats?,set_34,nonGP_improb,GP_question,improb,nonGP,2614,False
63,a17fadc37a0cae11ebd352721beea394,31,United Kingdom,True,True,The floor was filled with stains while the cleaner mopped.,Did the cleaner mop the floor?,set_35,nonGP_prob,GP_question,prob,nonGP,6000,False
64,e75743f7960e8855872aedfdc6ddea28,63,UK,True,True,The floor was filled with stains while the cleaner mopped.,Did the cleaner mop the floor?,set_35,nonGP_prob,GP_question,prob,nonGP,2734,False
65,3f1fa0068fbd1519a00d1556eff1511c,74,UK,True,True,The floor was filled with stains while the cleaner mopped.,Did the cleaner mop the floor?,set_35,nonGP_prob,GP_question,prob,nonGP,3313,False
66,34425b22c650eddff30b0d051429b37b,40,United Kingdom,True,True,The floor was filled with stains while the cleaner mopped.,Did the cleaner mop the floor?,set_35,nonGP_prob,GP_question,prob,nonGP,2357,False
67,663583b14cfc9654a60636134eb03f58,42,United Kingdom,True,True,The ceiling was filled with stains while the cleaner mopped.,Did the cleaner mop the ceiling?,set_35,nonGP_improb,GP_question,improb,nonGP,2083,True
68,d9465c72dc384891a67d40e4612828e6,32,United Kingdom,True,True,The floor was filled with stains while the cleaner mopped.,Did the cleaner mop the floor?,set_35,nonGP_prob,GP_question,prob,nonGP,2415,False
69,5c9987591c002aa660e0e2133bf23aea,41,United Kingdom,True,True,The ceiling was filled with stains while the cleaner mopped.,Did the cleaner mop the ceiling?,set_35,nonGP_improb,GP_question,improb,nonGP,2284,False
70,2be2f751a260a583c0e4950db11ad87f,26,NIGERIAN,True,True,While the cleaner mopped the ceiling was filled with stains.,Was the ceiling filled with stains?,set_35,GP_improb,simple_question,improb,GP,3309,True
71,a82053462306144c514a7fe2491a346c,43,scotland,True,True,The ceiling was filled with stains while the cleaner mopped.,Did the cleaner mop the ceiling?,set_35,nonGP_improb,GP_question,improb,nonGP,1514,False
72,70ce8d4067f97dbea47a5525d66b3a85,70,uk,True,True,While the cleaner mopped the ceiling was filled with stains.,Was the ceiling filled with stains?,set_35,GP_improb,simple_question,improb,GP,1082,True
73,b1ab8a986d1bd031bdb0ff47b269c4cd,64,United Kingdom,True,True,While the chef cooked the meal impressed the couple.,Did the chef cook the meal?,set_36,GP_prob,GP_question,prob,GP,2683,False
74,21ab9ffba018770c1e74676d689e2020,44,UK,True,True,While the child finished the homework waited on the table.,Did the child finish the homework?,set_37,GP_prob,GP_question,prob,GP,2988,True
75,bd9e3b09975e5b0a29d361934a4c288e,49,England,True,True,While the child finished the homework waited on the table.,Did the child finish the homework?,set_37,GP_prob,GP_question,prob,GP,1693,False
76,6c2d76cd237f9ab3df7c1343bf7cd736,29,UK,True,True,While the child finished the tax forms waited on the table.,Did the tax forms wait on the table?,set_37,GP_improb,simple_question,improb,GP,2133,True
77,98171f7185bf7d9ba9a637f13e196113,55,United States,True,True,While the child finished the tax forms waited on the table.,Did the tax forms wait on the table?,set_37,GP_improb,simple_question,improb,GP,1693,True
78,5d2c2945c98e86d3ba77559bb42506fa,49,United Kingdom,True,True,The homework waited on the table while the child finished.,Did the homework wait on the table?,set_37,nonGP_prob,simple_question,prob,nonGP,1381,True
79,ca2ad75c16e5226dbfd4ff5a4544c098,33,USA,True,True,The homework waited on the table while the child finished.,Did the child finish the homework?,set_37,nonGP_prob,GP_question,prob,nonGP,1972,False
80,b9dd599fe3749b193ebe4ea4032a559e,47,United Kingdom,True,True,The homework waited on the table while the child finished.,Did the child finish the homework?,set_37,nonGP_prob,GP_question,prob,nonGP,1600,False
81,637f6997efd3289afada0f59ad83c916,45,UK,True,True,The homework waited on the table while the child finished.,Did the homework wait on the table?,set_37,nonGP_prob,simple_question,prob,nonGP,1526,True
82,91fdb5bbe1259f3d98e037fabb8b1d2a,20,England,True,True,The homework waited on the table while the child finished.,Did the child finish the homework?,set_37,nonGP_prob,GP_question,prob,nonGP,3568,True
83,3e456d929f1c5d0a23564a5d9181de05,30,South Africa,True,True,While the chef cooked the meal impressed the couple.,Did the meal impress the couple?,set_36,GP_prob,simple_question,prob,GP,1602,True
84,2144bc1b031394111b897d4a11dfec3a,38,Scotland,True,True,While the student knitted the sweater sold to the highest bidder.,Did the sweater sell to the highest bidder?,set_38,GP_prob,simple_question,prob,GP,2171,True
85,48f92788cb86ee7447ea7a1defbaf9e6,65,UK,True,True,The tax forms waited on the table while the child finished.,Did the child finish the tax forms?,set_37,nonGP_improb,GP_question,improb,nonGP,4190,True
86,c90dacb6cd63a1288696246396204ec2,34,United Kingdom,True,True,The painting sold to the highest bidder while the student knitted.,Did the painting sell to the highest bidder?,set_38,nonGP_improb,simple_question,improb,nonGP,1528,True
87,11bd324106f78bccfe3606735818d9cf,56,United Kingdom,True,True,The sweater sold to the highest bidder while the student knitted.,Did the student knit the sweater?,set_38,nonGP_prob,GP_question,prob,nonGP,1289,False
88,7c24d737ba7da40cd142c68de0382310,53,uk,True,True,The painting sold to the highest bidder while the student knitted.,Did the painting sell to the highest bidder?,set_38,nonGP_improb,simple_question,improb,nonGP,2728,True
89,46d5cf7e7f8154a9929e049646398afa,47,United Kingdom,True,True,While the student knitted the sweater sold to the highest bidder.,Did the student knit the sweater?,set_38,GP_prob,GP_question,prob,GP,3461,False
90,674b0703d04fdfdb220b73e62ccdf4c8,46,uk,True,True,While the student knitted the sweater sold to the highest bidder.,Did the student knit the sweater?,set_38,GP_prob,GP_question,prob,GP,4071,True
91,ba498870b1056f1daf91548cee3d4bce,39,uk,True,True,The painting sold to the highest bidder while the student knitted.,Did the painting sell to the highest bidder?,set_38,nonGP_improb,simple_question,improb,nonGP,1946,True
92,8f5ed0b4f13d5c917249530252c88200,55,United Kingdom,True,True,The painting sold to the highest bidder while the student knitted.,Did the painting sell to the highest bidder?,set_38,nonGP_improb,simple_question,improb,nonGP,1531,True
94,9d3c4e7d7f2b6b2b1bbbb316e6044830,38,UK,True,True,While the astronomer observed the comet lit up the room.,Did the comet light up the room?,set_39,GP_prob,simple_question,prob,GP,2841,True
96,76e17efd3ff99e1746b6c8f659e4414d,22,usa,True,True,The lightbulb lit up the room while the astronomer observed.,Did the astronomer observe the lightbulb?,set_39,nonGP_improb,GP_question,improb,nonGP,5539,False
98,0905eba94592a68cd4577bee1478d7f1,21,UK,True,True,The painting sold to the highest bidder while the student knitted.,Did the student knit the painting?,set_38,nonGP_improb,GP_question,improb,nonGP,1160,False
99,f3cd52d0bb176a7345acba3ee740fab6,40,UK,True,True,The lightbulb lit up the room while the astronomer observed.,Did the astronomer observe the lightbulb?,set_39,nonGP_improb,GP_question,improb,nonGP,3437,False
100,d63e34a6e12a578e0b14bc204613bbf7,57,uk,True,True,While the match lit the fire warmed the children.,Did the match light the fire?,set_hyp5_23,GP_reflexive,GP_question,reflexive,GP,1212,False
101,d98dff7d9a97f4e27eaae0471d52f286,47,UK,True,True,The lightbulb lit up the room while the astronomer observed.,Did the astronomer observe the lightbulb?,set_39,nonGP_improb,GP_question,improb,nonGP,2346,False
102,362abd1c768aa485bb497643622d75c8,46,UK,True,True,The lightbulb lit up the room while the astronomer observed.,Did the astronomer observe the lightbulb?,set_39,nonGP_improb,GP_question,improb,nonGP,4046,False
103,2cd9459dc799c1f450731f4a943dd825,29,UK,True,True,While the players started the lesson bored the children.,Did the lesson bore the children?,set_40,GP_improb,simple_question,improb,GP,2150,True
105,299a322c0aa3aeff012938cc01502467,47,Eungland,True,True,While the astronomer observed the lightbulb lit up the room.,Did the astronomer observe the lightbulb?,set_39,GP_improb,GP_question,improb,GP,2819,False
106,4bccb9e508f9ce6300b6d450164be9d4,48,GB,True,True,The game bored the children while the players started.,Did the game bore the children?,set_40,nonGP_prob,simple_question,prob,nonGP,1783,True
107,d031713b1b8643d1ce8c70ce76d44a2d,52,uk,True,True,The game bored the children while the players started.,Did the game bore the children?,set_40,nonGP_prob,simple_question,prob,nonGP,1471,True
108,fe57d7a89d988b9bdede4e1c302f26e7,48,United Kingdom,True,True,The lightbulb lit up the room while the astronomer observed.,Did the astronomer observe the lightbulb?,set_39,nonGP_improb,GP_question,improb,nonGP,2799,False
109,ebe5bbadbb324991639fc176249ef9e2,30,US,True,True,The game bored the children while the players started.,Did the players start the game?,set_40,nonGP_prob,GP_question,prob,nonGP,1685,False
111,97530b914aaea5974d23c8e097c69a21,23,United Kingdom,True,True,The game bored the children while the players started.,Did the players start the game?,set_40,nonGP_prob,GP_question,prob,nonGP,3830,False
112,264e86a195da6a76a95e6cca67fe1d85,29,United Kingdom,True,True,The game bored the children while the players started.,Did the players start the game?,set_40,nonGP_prob,GP_question,prob,nonGP,2115,False
113,6ab60586f37664e812acaf9e327b62a0,55,United Kingdom,True,True,The game bored the children while the players started.,Did the players start the game?,set_40,nonGP_prob,GP_question,prob,nonGP,2005,False
114,01122f2f6c7cba81e39af3e30f31f651,44,United Kingdom,True,True,While the professor taught the students looked at the board.,Did the students look at the board?,set_41,GP_prob,simple_question,prob,GP,974,True
115,36dcd314ea9bcb4108a30c07b0549a7b,52,United Kingdom,True,True,While the professor taught the students looked at the board.,Did the professor teach the students?,set_41,GP_prob,GP_question,prob,GP,1544,True
116,b2a783a17b249ce34bac0142ad68afdc,61,United Kingdom,True,True,While the professor taught the puppies looked at the board.,Did the puppies look at the board?,set_41,GP_improb,simple_question,improb,GP,1933,True
117,e14f3fa62c4106bb7456d74acc4fe4b2,35,UK,True,True,While the professor taught the puppies looked at the board.,Did the puppies look at the board?,set_41,GP_improb,simple_question,improb,GP,3018,True
118,f255b270ca2dbfa70d3ff4797ad9ff5b,39,UK,True,True,While the pianist practiced the melody echoed through the hall.,Did the pianist practice the melody?,set_42,GP_prob,GP_question,prob,GP,1871,False
119,f4af0a5fc94e6376e70bf0c24a634d8b,40,United Kingdom,True,True,While the professor taught the puppies looked at the board.,Did the puppies look at the board?,set_41,GP_improb,simple_question,improb,GP,1590,True
120,c06853d6cdaf22114d9d85f788329cb3,30,UK,True,True,While the pianist practiced the vacuum echoed through the hall.,Did the pianist practice the vacuum?,set_42,GP_improb,GP_question,improb,GP,2042,True
122,ec0338eb82ab725efecc354b0b750b83,71,UK,True,True,The game bored the children while the players started.,Did the players start the game?,set_40,nonGP_prob,GP_question,prob,nonGP,3806,True
124,b33be09a6ef7923e0a0e01a5e58eec53,45,England,True,True,While the professor taught the puppies looked at the board.,Did the professor teach the puppies?,set_41,GP_improb,GP_question,improb,GP,1758,False
125,ba6b2dc516613a6e4277756ca96abac3,41,uk,True,True,The melody echoed through the hall while the pianist practiced.,Did the melody echo through the hall?,set_42,nonGP_prob,simple_question,prob,nonGP,2902,True
126,83e30149fa9327f96107a2686613edad,52,United Kingdom,True,True,The melody echoed through the hall while the pianist practiced.,Did the melody echo through the hall?,set_42,nonGP_prob,simple_question,prob,nonGP,2104,True
127,1428f4914f82062dd36265618e4fed2f,41,UK,True,True,While the pianist practiced the vacuum echoed through the hall.,Did the pianist practice the vacuum?,set_42,GP_improb,GP_question,improb,GP,2520,True
128,7da201f24e64a11579c0177ffc21843e,45,UK,True,True,While the pianist practiced the melody echoed through the hall.,Did the pianist practice the melody?,set_42,GP_prob,GP_question,prob,GP,1970,False
129,723b1a63e5b3c12682c8bc707049c725,33,england,True,True,The melody echoed through the hall while the pianist practiced.,Did the melody echo through the hall?,set_42,nonGP_prob,simple_question,prob,nonGP,2913,True
130,4f6cf4e5527e14fc87fc7b7711a8d119,37,United States,True,True,While the pianist practiced the melody echoed through the hall.,Did the melody echo through the hall?,set_42,GP_prob,simple_question,prob,GP,2778,True
131,c104d8226a71de5d7458985458beb4d9,72,United Kingdom,True,True,While the couple left the bar buzzed with activity.,Did the bar buzz with activity?,set_43,GP_prob,simple_question,prob,GP,3789,True
132,71e442617bc8f518389e544f26834d0c,68,UK,True,True,The melody echoed through the hall while the pianist practiced.,Did the melody echo through the hall?,set_42,nonGP_prob,simple_question,prob,nonGP,1682,True
134,a3a181ef6b8077e64805ca8a3b9aac77,35,United States,True,True,While the professor taught the puppies looked at the board.,Did the puppies look at the board?,set_41,GP_improb,simple_question,improb,GP,2106,True
135,4f758b43e8158dfe0467fa0d1ce02101,70,England,True,True,The bar buzzed with activity while the couple left.,Did the bar buzz with activity?,set_43,nonGP_prob,simple_question,prob,nonGP,1506,True
136,9bc8e10071194891b4bb2f663837e4dd,34,UK,True,True,The bar buzzed with activity while the couple left.,Did the couple leave the bar?,set_43,nonGP_prob,GP_question,prob,nonGP,1672,False
137,20ef4aea3a22ab3ec6c6445b589c5d97,61,UK,True,True,The bar buzzed with activity while the couple left.,Did the bar buzz with activity?,set_43,nonGP_prob,simple_question,prob,nonGP,1871,True
139,6cab1834cec8515c2cff649965837a0d,54,United Kingdom,True,True,The vacuum echoed through the hall while the pianist practiced.,Did the pianist practice the vacuum?,set_42,nonGP_improb,GP_question,improb,nonGP,2734,True
140,7cef6a997af64ea72207b62678a3798b,44,united kingdom,True,True,The bar buzzed with activity while the couple left.,Did the couple leave the bar?,set_43,nonGP_prob,GP_question,prob,nonGP,2008,False
141,fab2446ccd6829be3218e4edb2084f6c,22,UK,True,True,The game bored the children while the players started.,Did the players start the game?,set_40,nonGP_prob,GP_question,prob,nonGP,5405,False
142,8ee2e8dda7fdc273dfc58932f3b247c7,40,United Kingdom,True,True,The hive buzzed with activity while the couple left.,Did the couple leave the hive?,set_43,nonGP_improb,GP_question,improb,nonGP,2226,False
143,7aa96b1ad3eed63520bcc761fed333d8,29,United Kingdom,True,True,The chrysalis hanged on the vine while the gardener harvested.,Did the chrysalis hang on the vine?,set_44,nonGP_improb,simple_question,improb,nonGP,2830,True
144,b08c0fa96d1c5738203405f76fc1a099,58,United Kingdom,True,True,The hive buzzed with activity while the couple left.,Did the couple leave the hive?,set_43,nonGP_improb,GP_question,improb,nonGP,3068,True
145,34657d351fb0085130b59756dd091bae,35,England,True,True,The tomatoes hanged on the vine while the gardener harvested.,Did the tomatoes hang on the vine?,set_44,nonGP_prob,simple_question,prob,nonGP,1673,True
146,25b0940aef01a6adc5d180a2c0aec41e,20,uk,True,True,While the gardener harvested the tomatoes hanged on the vine.,Did the tomatoes hang on the vine?,set_44,GP_prob,simple_question,prob,GP,2241,True
147,5395a57069ca7f0c3224c87f3c622eea,30,England,True,True,The cart moved silently while the horse pulled.,Did the cart move silently?,set_45,nonGP_prob,simple_question,prob,nonGP,1267,True
149,4ede38c31b131a848abf56acb63a4e59,60,United States,True,True,While the horse pulled the cart moved silently.,Did the cart move silently?,set_45,GP_prob,simple_question,prob,GP,1198,True
151,121640fcd06561f84e758c0bdd682590,55,Zimbabwe,True,True,The chrysalis hanged on the vine while the gardener harvested.,Did the chrysalis hang on the vine?,set_44,nonGP_improb,simple_question,improb,nonGP,1563,False
152,a3c515ac0a38abba244f535125c98d3b,33,United Kingdom,True,True,The cart moved silently while the horse pulled.,Did the cart move silently?,set_45,nonGP_prob,simple_question,prob,nonGP,2433,True
153,83592134c872916cbbd0e98b030ec310,28,England,True,True,The submarine moved silently while the horse pulled.,Did the horse pull the submarine?,set_45,nonGP_improb,GP_question,improb,nonGP,6000,False
155,426916c3944e0dd4ea59a6b4111a391e,50,United Kingdom,True,True,While the secretary typed the memo neared completion.,Did the secretary type the memo?,set_10,GP_prob,GP_question,prob,GP,3996,True
156,6330cb92f2021d960428f8169f948d49,36,United Kingdom,True,True,The submarine moved silently while the horse pulled.,Did the horse pull the submarine?,set_45,nonGP_improb,GP_question,improb,nonGP,2695,False
157,be752478da4619068d2a6ed657d4f242,35,uk,True,True,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,set_10,GP_improb,GP_question,improb,GP,2915,True
158,3fe11e61d9d5f489396f4c5778c8087c,54,UK,True,True,While the secretary typed the memo neared completion.,Did the secretary type the memo?,set_10,GP_prob,GP_question,prob,GP,1675,False
159,1654ba1d8b6b80eb1e942165ef5b6423,31,Canada,True,True,While the secretary typed the memo neared completion.,Did the secretary type the memo?,set_10,GP_prob,GP_question,prob,GP,1646,True
160,cf342d3efc7722a9e5ea10c59d63213c,48,UK,True,True,The hive buzzed with activity while the couple left.,Did the couple leave the hive?,set_43,nonGP_improb,GP_question,improb,nonGP,1684,True
161,1e04faddbf2762f8f96b47170d7e4370,35,GB,True,True,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,set_10,GP_improb,GP_question,improb,GP,4442,False
162,d2fa08722b025d7304b4a4657dd2c66b,26,UK,True,True,The memo neared completion while the secretary typed.,Did the memo near completion?,set_10,nonGP_prob,simple_question,prob,nonGP,1291,True
163,7158c1bd247132333cd04487970cb71a,18,Nigeria,True,True,The cart moved silently while the horse pulled.,Did the horse pull the cart?,set_45,nonGP_prob,GP_question,prob,nonGP,6942,True
164,e026f0da268a3511e1c8f30af0ec522c,54,UK,True,True,The memo neared completion while the secretary typed.,Did the memo near completion?,set_10,nonGP_prob,simple_question,prob,nonGP,1833,True
165,6a2106066e0b224b53f4eef916238c92,45,GB,True,True,While the log broke the window moved on its axis.,Did the log break the window?,set_hyp5_22,GP_reflexive,GP_question,reflexive,GP,4989,False
166,008fc02a97625a5ef0ffba83847f178e,41,United Kingdom,True,True,The drawing neared completion while the secretary typed.,Did the drawing near completion?,set_10,nonGP_improb,simple_question,improb,nonGP,1402,True
167,b1e3abd858e224a0297d83f4493ee08e,59,United Kingdom,True,True,While the horse pulled the cart moved silently.,Did the horse pull the cart?,set_45,GP_prob,GP_question,prob,GP,4709,False
