Unnamed: 0,sentence,question,set_id,sent_type,quest_type,correct_answer,incorrect_answer,noun_subj_gp,verb_gp,noun_subj_no_gp,verb_no_gp
141,The pipe glowed brightly while the sailor smoked.,Did the sailor smoke the pipe?,set_27,nonGP_prob,GP_question,No,Yes,sailor,smoked,pipe,glowed
142,The firefly glowed brightly while the sailor smoked.,Did the firefly glow brightly?,set_27,nonGP_improb,simple_question,Yes,No,sailor,smoked,firefly,glowed
143,The firefly glowed brightly while the sailor smoked.,Did the sailor smoke the firefly?,set_27,nonGP_improb,GP_question,No,Yes,sailor,smoked,firefly,glowed
144,While the tourist filmed the dancer blocked the sidewalk.,Did the dancer block the sidewalk?,set_28,GP_prob,simple_question,Yes,No,tourist,filmed,dancer,blocked
145,While the tourist filmed the dancer blocked the sidewalk.,Did the tourist film the dancer?,set_28,GP_prob,GP_question,No,Yes,tourist,filmed,dancer,blocked
146,While the tourist filmed the trashbags blocked the sidewalk.,Did the trashbags block the sidewalk?,set_28,GP_improb,simple_question,Yes,No,tourist,filmed,trashbags,blocked
147,While the tourist filmed the trashbags blocked the sidewalk.,Did the tourist film the trashbags?,set_28,GP_improb,GP_question,No,Yes,tourist,filmed,trashbags,blocked
148,The dancer blocked the sidewalk while the tourist filmed.,Did the dancer block the sidewalk?,set_28,nonGP_prob,simple_question,Yes,No,tourist,filmed,dancer,blocked
149,The dancer blocked the sidewalk while the tourist filmed.,Did the tourist film the dancer?,set_28,nonGP_prob,GP_question,No,Yes,tourist,filmed,dancer,blocked
150,The trashbags blocked the sidewalk while the tourist filmed.,Did the trashbags block the sidewalk?,set_28,nonGP_improb,simple_question,Yes,No,tourist,filmed,trashbags,blocked
151,The trashbags blocked the sidewalk while the tourist filmed.,Did the tourist film the trashbags?,set_28,nonGP_improb,GP_question,No,Yes,tourist,filmed,trashbags,blocked
152,While the athlete wrestled the opponent shouted insults.,Did the opponent shout insults?,set_29,GP_prob,simple_question,Yes,No,athlete,wrestled,opponent,shouted
153,While the athlete wrestled the opponent shouted insults.,Did the athlete wrestle the opponent?,set_29,GP_prob,GP_question,No,Yes,athlete,wrestled,opponent,shouted
154,While the athlete wrestled the audience shouted insults.,Did the audience shout insults?,set_29,GP_improb,simple_question,Yes,No,athlete,wrestled,audience,shouted
155,While the athlete wrestled the audience shouted insults.,Did the athlete wrestle the audience?,set_29,GP_improb,GP_question,No,Yes,athlete,wrestled,audience,shouted
156,The opponent shouted insults while the athlete wrestled.,Did the opponent shout insults?,set_29,nonGP_prob,simple_question,Yes,No,athlete,wrestled,opponent,shouted
157,The opponent shouted insults while the athlete wrestled.,Did the athlete wrestle the opponent?,set_29,nonGP_prob,GP_question,No,Yes,athlete,wrestled,opponent,shouted
158,The audience shouted insults while the athlete wrestled.,Did the audience shout insults?,set_29,nonGP_improb,simple_question,Yes,No,athlete,wrestled,audience,shouted
159,The audience shouted insults while the athlete wrestled.,Did the athlete wrestle the audience?,set_29,nonGP_improb,GP_question,No,Yes,athlete,wrestled,audience,shouted
160,While the warrior fought the enemy retreated.,Did the enemy retreat?,set_30,GP_prob,simple_question,Yes,No,warrior,fought,enemy,retreated
161,While the warrior fought the enemy retreated.,Did the warrior fight the enemy?,set_30,GP_prob,GP_question,No,Yes,warrior,fought,enemy,retreated
162,While the warrior fought the rhino retreated.,Did the rhino retreat?,set_30,GP_improb,simple_question,Yes,No,warrior,fought,rhino,retreated
163,While the warrior fought the rhino retreated.,Did the warrior fight the rhino?,set_30,GP_improb,GP_question,No,Yes,warrior,fought,rhino,retreated
164,The enemy retreated while the warrior fought.,Did the enemy retreat?,set_30,nonGP_prob,simple_question,Yes,No,warrior,fought,enemy,retreated
165,The enemy retreated while the warrior fought.,Did the warrior fight the enemy?,set_30,nonGP_prob,GP_question,No,Yes,warrior,fought,enemy,retreated
166,The rhino retreated while the warrior fought.,Did the rhino retreat?,set_30,nonGP_improb,simple_question,Yes,No,warrior,fought,rhino,retreated
167,The rhino retreated while the warrior fought.,Did the warrior fight the rhino?,set_30,nonGP_improb,GP_question,No,Yes,warrior,fought,rhino,retreated
168,While Harry chewed the steak fell to the floor.,Did the steak fall to the floor?,set_31,GP_prob,simple_question,Yes,No,Harry,chewed,steak,fell
169,While Harry chewed the steak fell to the floor.,Did Harry chew the steak?,set_31,GP_prob,GP_question,No,Yes,Harry,chewed,steak,fell
170,While Harry chewed the book fell to the floor.,Did the book fall to the floor?,set_31,GP_improb,simple_question,Yes,No,Harry,chewed,book,fell
171,While Harry chewed the book fell to the floor.,Did Harry chew the book?,set_31,GP_improb,GP_question,No,Yes,Harry,chewed,book,fell
172,The steak fell to the floor while Harry chewed.,Did the steak fall to the floor?,set_31,nonGP_prob,simple_question,Yes,No,Harry,chewed,steak,fell
173,The steak fell to the floor while Harry chewed.,Did Harry chew the steak?,set_31,nonGP_prob,GP_question,No,Yes,Harry,chewed,steak,fell
174,The book fell to the floor while Harry chewed.,Did the book fall to the floor?,set_31,nonGP_improb,simple_question,Yes,No,Harry,chewed,book,fell
175,The book fell to the floor while Harry chewed.,Did Harry chew the book?,set_31,nonGP_improb,GP_question,No,Yes,Harry,chewed,book,fell
176,While Bill ate the turkey sat on the table.,Did the turkey sit on the table?,set_32,GP_prob,simple_question,Yes,No,Bill,ate,turkey,sat
177,While Bill ate the turkey sat on the table.,Did Bill eat the turkey?,set_32,GP_prob,GP_question,No,Yes,Bill,ate,turkey,sat
178,While Bill ate the baby sat on the table.,Did the baby sit on the table?,set_32,GP_improb,simple_question,Yes,No,Bill,ate,baby,sat
179,While Bill ate the baby sat on the table.,Did Bill eat the baby?,set_32,GP_improb,GP_question,No,Yes,Bill,ate,baby,sat
180,The turkey sat on the table while Bill ate.,Did the turkey sit on the table?,set_32,nonGP_prob,simple_question,Yes,No,Bill,ate,turkey,sat
181,The turkey sat on the table while Bill ate.,Did Bill eat the turkey?,set_32,nonGP_prob,GP_question,No,Yes,Bill,ate,turkey,sat
182,The baby sat on the table while Bill ate.,Did the baby sit on the table?,set_32,nonGP_improb,simple_question,Yes,No,Bill,ate,baby,sat
183,The baby sat on the table while Bill ate.,Did Bill eat the baby?,set_32,nonGP_improb,GP_question,No,Yes,Bill,ate,baby,sat
184,While Janet baked the bread rose in the oven.,Did the bread rise in the oven?,set_33,GP_prob,simple_question,Yes,No,Janet,baked,bread,rose
185,While Janet baked the bread rose in the oven.,Did Janet bake the bread?,set_33,GP_prob,GP_question,No,Yes,Janet,baked,bread,rose
186,While Janet baked the pressure rose in the oven.,Did the pressure rise in the oven?,set_33,GP_improb,simple_question,Yes,No,Janet,baked,pressure,rose
187,While Janet baked the pressure rose in the oven.,Did Janet bake the pressure?,set_33,GP_improb,GP_question,No,Yes,Janet,baked,pressure,rose
188,The bread rose in the oven while Janet baked.,Did the bread rise in the oven?,set_33,nonGP_prob,simple_question,Yes,No,Janet,baked,bread,rose
189,The bread rose in the oven while Janet baked.,Did Janet bake the bread?,set_33,nonGP_prob,GP_question,No,Yes,Janet,baked,bread,rose
190,The pressure rose in the oven while Janet baked.,Did the pressure rise in the oven?,set_33,nonGP_improb,simple_question,Yes,No,Janet,baked,pressure,rose
191,The pressure rose in the oven while Janet baked.,Did Janet bake the pressure?,set_33,nonGP_improb,GP_question,No,Yes,Janet,baked,pressure,rose
192,While the public cheered the team left the restaurant.,Did the team leave the restaurant?,set_34,GP_prob,simple_question,Yes,No,public,cheered,team,left
193,While the public cheered the team left the restaurant.,Did the public cheer the team?,set_34,GP_prob,GP_question,No,Yes,public,cheered,team,left
194,While the public cheered the rats left the restaurant.,Did the rats leave the restaurant?,set_34,GP_improb,simple_question,Yes,No,public,cheered,rats,left
195,While the public cheered the rats left the restaurant.,Did the public cheer the rats?,set_34,GP_improb,GP_question,No,Yes,public,cheered,rats,left
196,The team left the restaurant while the public cheered.,Did the team leave the restaurant?,set_34,nonGP_prob,simple_question,Yes,No,public,cheered,team,left
197,The team left the restaurant while the public cheered.,Did the public cheer the team?,set_34,nonGP_prob,GP_question,No,Yes,public,cheered,team,left
198,The rats left the restaurant while the public cheered.,Did the rats leave the restaurant?,set_34,nonGP_improb,simple_question,Yes,No,public,cheered,rats,left
