sentence,noun,verb,sent_type
While the players started the game bored the children.,game,started,GP_prob
While the players started the lesson bored the children.,lesson,started,GP_improb
The game bored the children while the players started.,game,started,nonGP_prob
The lesson bored the children while the players started.,lesson,started,nonGP_improb
While the professor taught the students looked at the board.,students,taught,GP_prob
While the professor taught the puppies looked at the board.,puppies,taught,GP_improb
The students looked at the board while the professor taught.,students,taught,nonGP_prob
The puppies looked at the board while the professor taught.,puppies,taught,nonGP_improb
While the pianist practiced the melody echoed through the hall.,melody,practiced,GP_prob
While the pianist practiced the vacuum echoed through the hall.,vacuum,practiced,GP_improb
The melody echoed through the hall while the pianist practiced.,melody,practiced,nonGP_prob
The vacuum echoed through the hall while the pianist practiced.,vacuum,practiced,nonGP_improb
While the couple left the bar buzzed with activity.,bar,left,GP_prob
While the couple left the hive buzzed with activity.,hive,left,GP_improb
The bar buzzed with activity while the couple left.,bar,left,nonGP_prob
The hive buzzed with activity while the couple left.,hive,left,nonGP_improb
While the gardener harvested the tomatoes hanged on the vine.,tomatoes,harvested,GP_prob
While the gardener harvested the chrysalis hanged on the vine.,chrysalis,harvested,GP_improb
The tomatoes hanged on the vine while the gardener harvested.,tomatoes,harvested,nonGP_prob
The chrysalis hanged on the vine while the gardener harvested.,chrysalis,harvested,nonGP_improb
While the horse pulled the cart moved silently.,cart,pulled,GP_prob
While the horse pulled the submarine moved silently.,submarine,pulled,GP_improb
The cart moved silently while the horse pulled.,cart,pulled,nonGP_prob
The submarine moved silently while the horse pulled.,submarine,pulled,nonGP_improb
The child giggled with delight while Jim bathed.,child,bathed,GP_reflexive
The baboons sat in the grass while the chimps groomed.,baboons,bathed,GP_reflexive
The car sat in the driveway while Frank dried off.,child,groomed,nonGP_reflexive
The neighbor coughed loudly while Betty woke up.,baboons,groomed,nonGP_reflexive
The jewelry sparkled brightly while the thief hid.,car,dried,GP_reflexive
The baby spit up on the bed while Anna dressed.,neighbor,dried,GP_reflexive
The dog barked loudly while the boy washed.,car,woke,nonGP_reflexive
The horse stood in the stall while the jockey settled down.,neighbor,woke,nonGP_reflexive
The baby cried softly while the mother undressed.,jewelry,hid,GP_reflexive
The patient watched TV while the nurse shaved.,baby,hid,GP_reflexive
The cat stared at the dog while the girl scratched.,jewelry,dressed,nonGP_reflexive
The children sat on the bed while the mother calmed down.,baby,dressed,nonGP_reflexive
The painting stood the test of time while the artist changed.,dog,washed,GP_reflexive
The tomatoes invaded the garden while the child grew.,horse,washed,GP_reflexive
The ball kept moving across the room while the toddler rolled.,dog,settled,nonGP_reflexive
The wheel made weird noises while the mechanic turned.,horse,settled,nonGP_reflexive
The river stayed warm while the ice cap shrank.,baby,undressed,GP_reflexive
The bat fell on the road while the gymnast swung.,patient,undressed,GP_reflexive
The athletes started the game while Bill trained.,baby,shaved,nonGP_reflexive
The bone went bad while the dog moved.,patient,shaved,nonGP_reflexive
The valley kept on living quietly while the river flooded.,cat,scratched,GP_reflexive
The window moved on its axis while the log broke.,children,scratched,GP_reflexive
The fire warmed the children while the match lit.,cat,calmed,nonGP_reflexive
The boat was stranded in the ocean while the wave crashed.,children,calmed,nonGP_reflexive
While Jim bathed the child giggled with delight.,painting,changed,GP_reflexive
While the chimps groomed the baboons sat in the grass.,tomatoes,changed,GP_reflexive
While Frank dried off the car sat in the driveway.,painting,grew,nonGP_reflexive
While Betty woke up the neighbor coughed loudly.,tomatoes,grew,nonGP_reflexive
While the thief hid the jewelry sparkled brightly.,ball,rolled,GP_reflexive
While Anna dressed the baby spit up on the bed.,wheel,rolled,GP_reflexive
While the boy washed the dog barked loudly.,ball,turned,nonGP_reflexive
While the jockey settled down the horse stood in the stall.,wheel,turned,nonGP_reflexive
While the mother undressed the baby cried softly.,river,shrank,GP_reflexive
While the nurse shaved the patient watched TV.,bat,shrank,GP_reflexive
While the girl scratched the cat stared at the dog.,river,swung,nonGP_reflexive
While the mother calmed down the children sat on the bed.,bat,swung,nonGP_reflexive
While the artist changed the painting stood the test of time.,athletes,trained,GP_reflexive
While the child grew the tomatoes invaded the garden.,bone,trained,GP_reflexive
While the toddler rolled the ball kept moving across the room.,athletes,moved,nonGP_reflexive
While the mechanic turned the wheel made weird noises.,bone,moved,nonGP_reflexive
While the ice cap shrank the river stayed warm.,valley,flooded,GP_reflexive
While the gymnast swung the bat fell on the road,window,flooded,GP_reflexive
While Bill trained the athletes started the game.,valley,broke,nonGP_reflexive
While the dog moved the bone went bad.,window,broke,nonGP_reflexive
While the river flooded the valley kept on living quietly.,fire,lit,GP_reflexive
While the log broke the window moved on its axis.,boat,lit,GP_reflexive
While the match lit the fire warmed the children.,fire,crashed,nonGP_reflexive
While the wave crashed the boat was stranded in the ocean.,boat,crashed,nonGP_reflexive
While the man hunted the deer ran into the woods.,deer,hunted,GP_prob
While the man hunted the child ran into the woods.,child,hunted,GP_improb
The deer ran into the woods while the man hunted.,deer,hunted,nonGP_prob
The child ran into the woods while the man hunted.,child,hunted,nonGP_improb
While the skipper sailed the boat veered off course.,boat,sailed,GP_prob
While the skipper sailed the car veered off course.,car,sailed,GP_improb
The boat veered off course while the skipper sailed.,boat,sailed,nonGP_prob
The car veered off course while the skipper sailed.,car,sailed,nonGP_improb
While the orchestra performed the symphony played on the radio.,symphony,performed,GP_prob
While the orchestra performed the newsflash played on the radio.,newsflash,performed,GP_improb
The symphony played on the radio while the orchestra performed.,symphony,performed,nonGP_prob
The newsflash played on the radio while the orchestra performed.,newsflash,performed,nonGP_improb
While the bridesmaid ordered the dress got delivered.,dress,ordered,GP_prob
While the bridesmaid ordered the tractor got delivered.,tractor,ordered,GP_improb
The dress got delivered while the bridesmaid ordered.,dress,ordered,nonGP_prob
The tractor got delivered while the bridesmaid ordered.,tractor,ordered,nonGP_improb
While Susan wrote the letter fell off the table.,letter,wrote,GP_prob
While Susan wrote the Bible fell off the table.,Bible,wrote,GP_improb
The letter fell off the table while Susan wrote.,letter,wrote,nonGP_prob
The Bible fell off the table while Susan wrote.,Bible,wrote,nonGP_improb
While the farmer steered the tractor pulled the car.,tractor,steered,GP_prob
While the farmer steered the tank pulled the car.,tank,steered,GP_improb
The tractor pulled the car while the farmer steered.,tractor,steered,nonGP_prob
The tank pulled the car while the farmer steered.,tank,steered,nonGP_improb
While the lawyer studied the contract lay on the roll-top desk.,contract,studied,GP_prob
While the lawyer studied the cat lay on the roll-top desk.,cat,studied,GP_improb
The contract lay on the roll-top desk while the lawyer studied.,contract,studied,nonGP_prob
The cat lay on the roll-top desk while the lawyer studied.,cat,studied,nonGP_improb
While the clown juggled the balls fell on the ground.,balls,juggled,GP_prob
While the clown juggled the cats fell on the ground.,cats,juggled,GP_improb
The balls fell on the ground while the clown juggled.,balls,juggled,nonGP_prob
The cats fell on the ground while the clown juggled.,cats,juggled,nonGP_improb
While Anne vacuumed the rug lost its colors.,rug,vacuumed,GP_prob
While Anne vacuumed the chameleon lost its colors.,chameleon,vacuumed,GP_improb
The rug lost its colors while Anne vacuumed.,rug,vacuumed,nonGP_prob
The chameleon lost its colors while Anne vacuumed.,chameleon,vacuumed,nonGP_improb
