,sentence,question,set_id,sent_type,quest_type,correct_answer,incorrect_answer
53,The tunnel echoed with mysterious sounds while the tourist explored.,Did the tourist explore the tunnel?,set_16,nonGP_prob,GP_question,No,Yes
54,The trunk echoed with mysterious sounds while the tourist explored.,Did the trunk echo with mysterious sounds?,set_16,nonGP_improb,simple_question,Yes,No
55,The trunk echoed with mysterious sounds while the tourist explored.,Did the tourist explore the trunk?,set_16,nonGP_improb,GP_question,No,Yes
56,While the woman drank the water spilled on the floor.,Did the water spill on the floor?,set_17,GP_prob,simple_question,Yes,No
57,While the woman drank the water spilled on the floor.,Did the woman drink the water?,set_17,GP_prob,GP_question,No,Yes
58,While the woman drank the mud spilled on the floor.,Did the mud spill on the floor?,set_17,GP_improb,simple_question,Yes,No
59,While the woman drank the mud spilled on the floor.,Did the woman drink the mud?,set_17,GP_improb,GP_question,No,Yes
60,The water spilled on the floor while the woman drank.,Did the water spill on the floor?,set_17,nonGP_prob,simple_question,Yes,No
61,The water spilled on the floor while the woman drank.,Did the woman drink the water?,set_17,nonGP_prob,GP_question,No,Yes
62,The mud spilled on the floor while the woman drank.,Did the mud spill on the floor?,set_17,nonGP_improb,simple_question,Yes,No
63,The mud spilled on the floor while the woman drank.,Did the woman drink the mud?,set_17,nonGP_improb,GP_question,No,Yes
64,While the snake swallowed the frog kicked vigorously.,Did the frog kick vigorously?,set_18,GP_prob,simple_question,Yes,No
65,While the snake swallowed the frog kicked vigorously.,Did the snake swallow the frog?,set_18,GP_prob,GP_question,No,Yes
66,While the snake swallowed the hippo kicked vigorously.,Did the hippo kick vigorously?,set_18,GP_improb,simple_question,Yes,No
67,While the snake swallowed the hippo kicked vigorously.,Did the snake swallow the hippo?,set_18,GP_improb,GP_question,No,Yes
68,The frog kicked vigorously while the snake swallowed.,Did the frog kick vigorously?,set_18,nonGP_prob,simple_question,Yes,No
69,The frog kicked vigorously while the snake swallowed.,Did the snake swallow the frog?,set_18,nonGP_prob,GP_question,No,Yes
70,The hippo kicked vigorously while the snake swallowed.,Did the hippo kick vigorously?,set_18,nonGP_improb,simple_question,Yes,No
71,The hippo kicked vigorously while the snake swallowed.,Did the snake swallow the hippo?,set_18,nonGP_improb,GP_question,No,Yes
72,While the lion attacked the baboon screamed in terror.,Did the baboon scream in terror?,set_19,GP_prob,simple_question,Yes,No
73,While the lion attacked the baboon screamed in terror.,Did the lion attack the baboon?,set_19,GP_prob,GP_question,No,Yes
74,While the lion attacked the penguin screamed in terror.,Did the penguin scream in terror?,set_19,GP_improb,simple_question,Yes,No
75,While the lion attacked the penguin screamed in terror.,Did the lion attack the penguin?,set_19,GP_improb,GP_question,No,Yes
76,The baboon screamed in terror while the lion attacked.,Did the baboon scream in terror?,set_19,nonGP_prob,simple_question,Yes,No
77,The baboon screamed in terror while the lion attacked.,Did the lion attack the baboon?,set_19,nonGP_prob,GP_question,No,Yes
78,The penguin screamed in terror while the lion attacked.,Did the penguin scream in terror?,set_19,nonGP_improb,simple_question,Yes,No
79,The penguin screamed in terror while the lion attacked.,Did the lion attack the penguin?,set_19,nonGP_improb,GP_question,No,Yes
80,While the maid dusted the picture tipped over.,Did the picture tip over?,set_20,GP_prob,simple_question,Yes,No
81,While the maid dusted the picture tipped over.,Did the maid dust the picture?,set_20,GP_prob,GP_question,No,Yes
82,While the maid dusted the cow tipped over.,Did the cow tip over?,set_20,GP_improb,simple_question,Yes,No
83,While the maid dusted the cow tipped over.,Did the maid dust the cow?,set_20,GP_improb,GP_question,No,Yes
84,The picture tipped over while the maid dusted.,Did the picture tip over?,set_20,nonGP_prob,simple_question,Yes,No
85,The picture tipped over while the maid dusted.,Did the maid dust the picture?,set_20,nonGP_prob,GP_question,No,Yes
86,The cow tipped over while the maid dusted.,Did the cow tip over?,set_20,nonGP_improb,simple_question,Yes,No
87,The cow tipped over while the maid dusted.,Did the maid dust the cow?,set_20,nonGP_improb,GP_question,No,Yes
88,While the teacher counted the children formed a line.,Did the children form a line?,set_21,GP_prob,simple_question,Yes,No
89,While the teacher counted the children formed a line.,Did the teacher count the children?,set_21,GP_prob,GP_question,No,Yes
90,While the teacher counted the ants formed a line.,Did the ants form a line?,set_21,GP_improb,simple_question,Yes,No
91,While the teacher counted the ants formed a line.,Did the teacher count the ants?,set_21,GP_improb,GP_question,No,Yes
92,The children formed a line while the teacher counted.,Did the children form a line?,set_21,nonGP_prob,simple_question,Yes,No
93,The children formed a line while the teacher counted.,Did the teacher count the children?,set_21,nonGP_prob,GP_question,No,Yes
94,The ants formed a line while the teacher counted.,Did the ants form a line?,set_21,nonGP_improb,simple_question,Yes,No
95,The ants formed a line while the teacher counted.,Did the teacher count the ants?,set_21,nonGP_improb,GP_question,No,Yes
96,While the champion raced the challenger stumbled and fell.,Did the challenger stumble and fall?,set_22,GP_prob,simple_question,Yes,No
97,While the champion raced the challenger stumbled and fell.,Did the champion race the challenger?,set_22,GP_prob,GP_question,No,Yes
98,While the champion raced the spectator stumbled and fell.,Did the spectator stumble and fall?,set_22,GP_improb,simple_question,Yes,No
99,While the champion raced the spectator stumbled and fell.,Did the champion race the spectator?,set_22,GP_improb,GP_question,No,Yes
100,The challenger stumbled and fell while the champion raced.,Did the challenger stumble and fall?,set_22,nonGP_prob,simple_question,Yes,No
101,The challenger stumbled and fell while the champion raced.,Did the champion race the challenger?,set_22,nonGP_prob,GP_question,No,Yes
102,The spectator stumbled and fell while the champion raced.,Did the spectator stumble and fall?,set_22,nonGP_improb,simple_question,Yes,No
103,The spectator stumbled and fell while the champion raced.,Did the champion race the spectator?,set_22,nonGP_improb,GP_question,No,Yes
104,While Jerry played the violin went out of tune.,Did the violin go out of tune?,set_23,GP_prob,simple_question,Yes,No
105,While Jerry played the violin went out of tune.,Did Jerry play the violin?,set_23,GP_prob,GP_question,No,Yes
106,While Jerry played the speakers went out of tune.,Did the speakers go out of tune?,set_23,GP_improb,simple_question,Yes,No
107,While Jerry played the speakers went out of tune.,Did Jerry play the speakers?,set_23,GP_improb,GP_question,No,Yes
108,The violin went out of tune while jerry played.,Did the violin go out of tune?,set_23,nonGP_prob,simple_question,Yes,No
109,The violin went out of tune while jerry played.,Did Jerry play the violin?,set_23,nonGP_prob,GP_question,No,Yes
110,The speakers went out of tune while jerry played.,Did the speakers go out of tune?,set_23,nonGP_improb,simple_question,Yes,No
111,The speakers went out of tune while jerry played.,Did Jerry play the speakers?,set_23,nonGP_improb,GP_question,No,Yes
112,While the girl painted the rainbow slowly faded outside.,Did the rainbow slowly fade outside?,set_24,GP_prob,simple_question,Yes,No
113,While the girl painted the rainbow slowly faded outside.,Did the girl paint the rainbow?,set_24,GP_prob,GP_question,No,Yes
114,While the girl painted the music slowly faded outside.,Did the music slowly fade outside?,set_24,GP_improb,simple_question,Yes,No
115,While the girl painted the music slowly faded outside.,Did the girl paint the music?,set_24,GP_improb,GP_question,No,Yes
116,The rainbow slowly faded outside while the girl painted.,Did the rainbow slowly fade outside?,set_24,nonGP_prob,simple_question,Yes,No
117,The rainbow slowly faded outside while the girl painted.,Did the girl paint the rainbow?,set_24,nonGP_prob,GP_question,No,Yes
118,The music slowly faded outside while the girl painted.,Did the music slowly fade outside?,set_24,nonGP_improb,simple_question,Yes,No
119,The music slowly faded outside while the girl painted.,Did the girl paint the music?,set_24,nonGP_improb,GP_question,No,Yes
120,While Kendra parked the van bumped the curb.,Did the van bump the curb?,set_25,GP_prob,simple_question,Yes,No
121,While Kendra parked the van bumped the curb.,Did Kendra park the van?,set_25,GP_prob,GP_question,No,Yes
122,While Kendra parked the horse bumped the curb.,Did the horse bump the curb?,set_25,GP_improb,simple_question,Yes,No
123,While Kendra parked the horse bumped the curb.,Did Kendra park the horse?,set_25,GP_improb,GP_question,No,Yes
124,The van bumped the curb while Kendra parked.,Did the van bump the curb?,set_25,nonGP_prob,simple_question,Yes,No
125,The van bumped the curb while Kendra parked.,Did Kendra park the van?,set_25,nonGP_prob,GP_question,No,Yes
126,The horse bumped the curb while Kendra parked.,Did the horse bump the curb?,set_25,nonGP_improb,simple_question,Yes,No
127,The horse bumped the curb while Kendra parked.,Did Kendra park the horse?,set_25,nonGP_improb,GP_question,No,Yes
128,While Angela cleaned the dog stood in the yard.,Did the dog stand in the yard?,set_26,GP_prob,simple_question,Yes,No
129,While Angela cleaned the dog stood in the yard.,Did Angela clean the dog?,set_26,GP_prob,GP_question,No,Yes
130,While Angela cleaned the mailman stood in the yard.,Did the mailman stand in the yard?,set_26,GP_improb,simple_question,Yes,No
131,While Angela cleaned the mailman stood in the yard.,Did Angela clean the mailman?,set_26,GP_improb,GP_question,No,Yes
132,The dog stood in the yard while Angela cleaned.,Did the dog stand in the yard?,set_26,nonGP_prob,simple_question,Yes,No
133,The dog stood in the yard while Angela cleaned.,Did Angela clean the dog?,set_26,nonGP_prob,GP_question,No,Yes
134,The mailman stood in the yard while Angela cleaned.,Did the mailman stand in the yard?,set_26,nonGP_improb,simple_question,Yes,No
135,The mailman stood in the yard while Angela cleaned.,Did Angela clean the mailman?,set_26,nonGP_improb,GP_question,No,Yes
136,While the sailor smoked the pipe glowed brightly.,Did the pipe glow brightly?,set_27,GP_prob,simple_question,Yes,No
137,While the sailor smoked the pipe glowed brightly.,Did the sailor smoke the pipe?,set_27,GP_prob,GP_question,No,Yes
138,While the sailor smoked the firefly glowed brightly.,Did the firefly glow brightly?,set_27,GP_improb,simple_question,Yes,No
139,While the sailor smoked the firefly glowed brightly.,Did the sailor smoke the firefly?,set_27,GP_improb,GP_question,No,Yes
140,The pipe glowed brightly while the sailor smoked.,Did the pipe glow brightly?,set_27,nonGP_prob,simple_question,Yes,No
141,The pipe glowed brightly while the sailor smoked.,Did the sailor smoke the pipe?,set_27,nonGP_prob,GP_question,No,Yes
142,The firefly glowed brightly while the sailor smoked.,Did the firefly glow brightly?,set_27,nonGP_improb,simple_question,Yes,No
143,The firefly glowed brightly while the sailor smoked.,Did the sailor smoke the firefly?,set_27,nonGP_improb,GP_question,No,Yes
144,While the tourist filmed the dancer blocked the sidewalk.,Did the dancer block the sidewalk?,set_28,GP_prob,simple_question,Yes,No
145,While the tourist filmed the dancer blocked the sidewalk.,Did the tourist film the dancer?,set_28,GP_prob,GP_question,No,Yes
146,While the tourist filmed the trashbags blocked the sidewalk.,Did the trashbags block the sidewalk?,set_28,GP_improb,simple_question,Yes,No
147,While the tourist filmed the trashbags blocked the sidewalk.,Did the tourist film the trashbags?,set_28,GP_improb,GP_question,No,Yes
148,The dancer blocked the sidewalk while the tourist filmed.,Did the dancer block the sidewalk?,set_28,nonGP_prob,simple_question,Yes,No
149,The dancer blocked the sidewalk while the tourist filmed.,Did the tourist film the dancer?,set_28,nonGP_prob,GP_question,No,Yes
150,The trashbags blocked the sidewalk while the tourist filmed.,Did the trashbags block the sidewalk?,set_28,nonGP_improb,simple_question,Yes,No
151,The trashbags blocked the sidewalk while the tourist filmed.,Did the tourist film the trashbags?,set_28,nonGP_improb,GP_question,No,Yes
152,While the athlete wrestled the opponent shouted insults.,Did the opponent shout insults?,set_29,GP_prob,simple_question,Yes,No
153,While the athlete wrestled the opponent shouted insults.,Did the athlete wrestle the opponent?,set_29,GP_prob,GP_question,No,Yes
154,While the athlete wrestled the audience shouted insults.,Did the audience shout insults?,set_29,GP_improb,simple_question,Yes,No
155,While the athlete wrestled the audience shouted insults.,Did the athlete wrestle the audience?,set_29,GP_improb,GP_question,No,Yes
156,The opponent shouted insults while the athlete wrestled.,Did the opponent shout insults?,set_29,nonGP_prob,simple_question,Yes,No
157,The opponent shouted insults while the athlete wrestled.,Did the athlete wrestle the opponent?,set_29,nonGP_prob,GP_question,No,Yes
158,The audience shouted insults while the athlete wrestled.,Did the audience shout insults?,set_29,nonGP_improb,simple_question,Yes,No
159,The audience shouted insults while the athlete wrestled.,Did the athlete wrestle the audience?,set_29,nonGP_improb,GP_question,No,Yes
160,While the warrior fought the enemy retreated.,Did the enemy retreat?,set_30,GP_prob,simple_question,Yes,No
161,While the warrior fought the enemy retreated.,Did the warrior fight the enemy?,set_30,GP_prob,GP_question,No,Yes
162,While the warrior fought the rhino retreated.,Did the rhino retreat?,set_30,GP_improb,simple_question,Yes,No
163,While the warrior fought the rhino retreated.,Did the warrior fight the rhino?,set_30,GP_improb,GP_question,No,Yes
164,The enemy retreated while the warrior fought.,Did the enemy retreat?,set_30,nonGP_prob,simple_question,Yes,No
165,The enemy retreated while the warrior fought.,Did the warrior fight the enemy?,set_30,nonGP_prob,GP_question,No,Yes
166,The rhino retreated while the warrior fought.,Did the rhino retreat?,set_30,nonGP_improb,simple_question,Yes,No
167,The rhino retreated while the warrior fought.,Did the warrior fight the rhino?,set_30,nonGP_improb,GP_question,No,Yes
168,While Harry chewed the steak fell to the floor.,Did the steak fall to the floor?,set_31,GP_prob,simple_question,Yes,No
169,While Harry chewed the steak fell to the floor.,Did Harry chew the steak?,set_31,GP_prob,GP_question,No,Yes
170,While Harry chewed the book fell to the floor.,Did the book fall to the floor?,set_31,GP_improb,simple_question,Yes,No
171,While Harry chewed the book fell to the floor.,Did Harry chew the book?,set_31,GP_improb,GP_question,No,Yes
172,The steak fell to the floor while Harry chewed.,Did the steak fall to the floor?,set_31,nonGP_prob,simple_question,Yes,No
173,The steak fell to the floor while Harry chewed.,Did Harry chew the steak?,set_31,nonGP_prob,GP_question,No,Yes
174,The book fell to the floor while Harry chewed.,Did the book fall to the floor?,set_31,nonGP_improb,simple_question,Yes,No
175,The book fell to the floor while Harry chewed.,Did Harry chew the book?,set_31,nonGP_improb,GP_question,No,Yes
176,While Bill ate the turkey sat on the table.,Did the turkey sit on the table?,set_32,GP_prob,simple_question,Yes,No
177,While Bill ate the turkey sat on the table.,Did Bill eat the turkey?,set_32,GP_prob,GP_question,No,Yes
178,While Bill ate the baby sat on the table.,Did the baby sit on the table?,set_32,GP_improb,simple_question,Yes,No
179,While Bill ate the baby sat on the table.,Did Bill eat the baby?,set_32,GP_improb,GP_question,No,Yes
180,The turkey sat on the table while Bill ate.,Did the turkey sit on the table?,set_32,nonGP_prob,simple_question,Yes,No
181,The turkey sat on the table while Bill ate.,Did Bill eat the turkey?,set_32,nonGP_prob,GP_question,No,Yes
182,The baby sat on the table while Bill ate.,Did the baby sit on the table?,set_32,nonGP_improb,simple_question,Yes,No
183,The baby sat on the table while Bill ate.,Did Bill eat the baby?,set_32,nonGP_improb,GP_question,No,Yes
184,While Janet baked the bread rose in the oven.,Did the bread rise in the oven?,set_33,GP_prob,simple_question,Yes,No
185,While Janet baked the bread rose in the oven.,Did Janet bake the bread?,set_33,GP_prob,GP_question,No,Yes
186,While Janet baked the pressure rose in the oven.,Did the pressure rise in the oven?,set_33,GP_improb,simple_question,Yes,No
187,While Janet baked the pressure rose in the oven.,Did Janet bake the pressure?,set_33,GP_improb,GP_question,No,Yes
188,The bread rose in the oven while Janet baked.,Did the bread rise in the oven?,set_33,nonGP_prob,simple_question,Yes,No
189,The bread rose in the oven while Janet baked.,Did Janet bake the bread?,set_33,nonGP_prob,GP_question,No,Yes
190,The pressure rose in the oven while Janet baked.,Did the pressure rise in the oven?,set_33,nonGP_improb,simple_question,Yes,No
191,The pressure rose in the oven while Janet baked.,Did Janet bake the pressure?,set_33,nonGP_improb,GP_question,No,Yes
192,While the public cheered the team left the restaurant.,Did the team leave the restaurant?,set_34,GP_prob,simple_question,Yes,No
193,While the public cheered the team left the restaurant.,Did the public cheer the team?,set_34,GP_prob,GP_question,No,Yes
194,While the public cheered the rats left the restaurant.,Did the rats leave the restaurant?,set_34,GP_improb,simple_question,Yes,No
195,While the public cheered the rats left the restaurant.,Did the public cheer the rats?,set_34,GP_improb,GP_question,No,Yes
196,The team left the restaurant while the public cheered.,Did the team leave the restaurant?,set_34,nonGP_prob,simple_question,Yes,No
197,The team left the restaurant while the public cheered.,Did the public cheer the team?,set_34,nonGP_prob,GP_question,No,Yes
198,The rats left the restaurant while the public cheered.,Did the rats leave the restaurant?,set_34,nonGP_improb,simple_question,Yes,No
199,The rats left the restaurant while the public cheered.,Did the public cheer the rats?,set_34,nonGP_improb,GP_question,No,Yes
200,While the cleaner mopped the floor was filled with stains.,Was the floor filled with stains?,set_35,GP_prob,simple_question,Yes,No
201,While the cleaner mopped the floor was filled with stains.,Did the cleaner mop the floor?,set_35,GP_prob,GP_question,No,Yes
202,While the cleaner mopped the ceiling was filled with stains.,Was the ceiling filled with stains?,set_35,GP_improb,simple_question,Yes,No
203,While the cleaner mopped the ceiling was filled with stains.,Did the cleaner mop the ceiling?,set_35,GP_improb,GP_question,No,Yes
204,The floor was filled with stains while the cleaner mopped.,Was the floor filled with stains?,set_35,nonGP_prob,simple_question,Yes,No
205,The floor was filled with stains while the cleaner mopped.,Did the cleaner mop the floor?,set_35,nonGP_prob,GP_question,No,Yes
206,The ceiling was filled with stains while the cleaner mopped.,Was the ceiling filled with stains?,set_35,nonGP_improb,simple_question,Yes,No
207,The ceiling was filled with stains while the cleaner mopped.,Did the cleaner mop the ceiling?,set_35,nonGP_improb,GP_question,No,Yes
208,While the chef cooked the meal impressed the couple.,Did the meal impress the couple?,set_36,GP_prob,simple_question,Yes,No
209,While the chef cooked the meal impressed the couple.,Did the chef cook the meal?,set_36,GP_prob,GP_question,No,Yes
210,While the chef cooked the cat impressed the couple.,Did the cat impress the couple?,set_36,GP_improb,simple_question,Yes,No
211,While the chef cooked the cat impressed the couple.,Did the chef cook the cat?,set_36,GP_improb,GP_question,No,Yes
212,The meal impressed the couple while the chef cooked.,Did the meal impress the couple?,set_36,nonGP_prob,simple_question,Yes,No
213,The meal impressed the couple while the chef cooked.,Did the chef cook the meal?,set_36,nonGP_prob,GP_question,No,Yes
214,The cat impressed the couple while the chef cooked.,Did the cat impress the couple?,set_36,nonGP_improb,simple_question,Yes,No
215,The cat impressed the couple while the chef cooked.,Did the chef cook the cat?,set_36,nonGP_improb,GP_question,No,Yes
216,While the child finished the homework waited on the table.,Did the homework wait on the table?,set_37,GP_prob,simple_question,Yes,No
217,While the child finished the homework waited on the table.,Did the child finish the homework?,set_37,GP_prob,GP_question,No,Yes
218,While the child finished the tax forms waited on the table.,Did the tax forms wait on the table?,set_37,GP_improb,simple_question,Yes,No
219,While the child finished the tax forms waited on the table.,Did the child finish the tax forms?,set_37,GP_improb,GP_question,No,Yes
220,The homework waited on the table while the child finished.,Did the homework wait on the table?,set_37,nonGP_prob,simple_question,Yes,No
221,The homework waited on the table while the child finished.,Did the child finish the homework?,set_37,nonGP_prob,GP_question,No,Yes
222,The tax forms waited on the table while the child finished.,Did the tax forms wait on the table?,set_37,nonGP_improb,simple_question,Yes,No
223,The tax forms waited on the table while the child finished.,Did the child finish the tax forms?,set_37,nonGP_improb,GP_question,No,Yes
224,While the student knitted the sweater sold to the highest bidder.,Did the sweater sell to the highest bidder?,set_38,GP_prob,simple_question,Yes,No
225,While the student knitted the sweater sold to the highest bidder.,Did the student knit the sweater?,set_38,GP_prob,GP_question,No,Yes
226,While the student knitted the painting sold to the highest bidder.,Did the painting sell to the highest bidder?,set_38,GP_improb,simple_question,Yes,No
227,While the student knitted the painting sold to the highest bidder.,Did the student knit the painting?,set_38,GP_improb,GP_question,No,Yes
228,The sweater sold to the highest bidder while the student knitted.,Did the sweater sell to the highest bidder?,set_38,nonGP_prob,simple_question,Yes,No
229,The sweater sold to the highest bidder while the student knitted.,Did the student knit the sweater?,set_38,nonGP_prob,GP_question,No,Yes
230,The painting sold to the highest bidder while the student knitted.,Did the painting sell to the highest bidder?,set_38,nonGP_improb,simple_question,Yes,No
231,The painting sold to the highest bidder while the student knitted.,Did the student knit the painting?,set_38,nonGP_improb,GP_question,No,Yes
232,While the astronomer observed the comet lit up the room.,Did the comet light up the room?,set_39,GP_prob,simple_question,Yes,No
233,While the astronomer observed the comet lit up the room.,Did the astronomer observe the comet?,set_39,GP_prob,GP_question,No,Yes
234,While the astronomer observed the lightbulb lit up the room.,Did the lightbulb light up the room?,set_39,GP_improb,simple_question,Yes,No
235,While the astronomer observed the lightbulb lit up the room.,Did the astronomer observe the lightbulb?,set_39,GP_improb,GP_question,No,Yes
236,The comet lit up the room while the astronomer observed.,Did the comet light up the room?,set_39,nonGP_prob,simple_question,Yes,No
237,The comet lit up the room while the astronomer observed.,Did the astronomer observe the comet?,set_39,nonGP_prob,GP_question,No,Yes
238,The lightbulb lit up the room while the astronomer observed.,Did the lightbulb light up the room?,set_39,nonGP_improb,simple_question,Yes,No
239,The lightbulb lit up the room while the astronomer observed.,Did the astronomer observe the lightbulb?,set_39,nonGP_improb,GP_question,No,Yes
240,While the players started the game bored the children.,Did the game bore the children?,set_40,GP_prob,simple_question,Yes,No
241,While the players started the game bored the children.,Did the players start the game?,set_40,GP_prob,GP_question,No,Yes
242,While the players started the lesson bored the children.,Did the lesson bore the children?,set_40,GP_improb,simple_question,Yes,No
243,While the players started the lesson bored the children.,Did the players start the lesson?,set_40,GP_improb,GP_question,No,Yes
244,The game bored the children while the players started.,Did the game bore the children?,set_40,nonGP_prob,simple_question,Yes,No
245,The game bored the children while the players started.,Did the players start the game?,set_40,nonGP_prob,GP_question,No,Yes
246,The lesson bored the children while the players started.,Did the lesson bore the children?,set_40,nonGP_improb,simple_question,Yes,No
247,The lesson bored the children while the players started.,Did the players start the lesson?,set_40,nonGP_improb,GP_question,No,Yes
248,While the professor taught the students looked at the board.,Did the students look at the board?,set_41,GP_prob,simple_question,Yes,No
249,While the professor taught the students looked at the board.,Did the professor teach the students?,set_41,GP_prob,GP_question,No,Yes
250,While the professor taught the puppies looked at the board.,Did the puppies look at the board?,set_41,GP_improb,simple_question,Yes,No
251,While the professor taught the puppies looked at the board.,Did the professor teach the puppies?,set_41,GP_improb,GP_question,No,Yes
252,The students looked at the board while the professor taught.,Did the students look at the board?,set_41,nonGP_prob,simple_question,Yes,No
