,model,sentence,question,correct,incorrect,sent_type,quest_type
40,gpt-4,While the chef stirred the soup boiled over.,Did the soup boil over?,1.0,0.0,GP_prob,simple_question
41,gpt-4,While the chef stirred the soup boiled over.,Did the chef stir the soup?,0.0,1.0,GP_prob,GP_question
42,gpt-4,While the chef stirred the acid boiled over.,Did the acid boil over?,1.0,0.0,GP_improb,simple_question
43,gpt-4,While the chef stirred the acid boiled over.,Did the chef stir the acid?,0.0,1.0,GP_improb,GP_question
44,gpt-4,The soup boiled over while the chef stirred.,Did the soup boil over?,1.0,0.0,nonGP_prob,simple_question
45,gpt-4,The soup boiled over while the chef stirred.,Did the chef stir the soup?,0.0,1.0,nonGP_prob,GP_question
46,gpt-4,The acid boiled over while the chef stirred.,Did the acid boil over?,1.0,0.0,nonGP_improb,simple_question
47,gpt-4,The acid boiled over while the chef stirred.,Did the chef stir the acid?,0.0,1.0,nonGP_improb,GP_question
48,gpt-4,While the tourist explored the tunnel echoed with mysterious sounds.,Did the tunnel echo with mysterious sounds?,1.0,0.0,GP_prob,simple_question
49,gpt-4,While the tourist explored the tunnel echoed with mysterious sounds.,Did the tourist explore the tunnel?,0.0,1.0,GP_prob,GP_question
50,gpt-4,While the tourist explored the trunk echoed with mysterious sounds.,Did the trunk echo with mysterious sounds?,1.0,0.0,GP_improb,simple_question
51,gpt-4,While the tourist explored the trunk echoed with mysterious sounds.,Did the tourist explore the trunk?,0.0,1.0,GP_improb,GP_question
52,gpt-4,The tunnel echoed with mysterious sounds while the tourist explored.,Did the tunnel echo with mysterious sounds?,1.0,0.0,nonGP_prob,simple_question
53,gpt-4,The tunnel echoed with mysterious sounds while the tourist explored.,Did the tourist explore the tunnel?,0.0,1.0,nonGP_prob,GP_question
54,gpt-4,The trunk echoed with mysterious sounds while the tourist explored.,Did the trunk echo with mysterious sounds?,1.0,0.0,nonGP_improb,simple_question
55,gpt-4,The trunk echoed with mysterious sounds while the tourist explored.,Did the tourist explore the trunk?,0.2,0.8,nonGP_improb,GP_question
56,gpt-4,While the woman drank the water spilled on the floor.,Did the water spill on the floor?,1.0,0.0,GP_prob,simple_question
57,gpt-4,While the woman drank the water spilled on the floor.,Did the woman drink the water?,0.0,1.0,GP_prob,GP_question
58,gpt-4,While the woman drank the mud spilled on the floor.,Did the mud spill on the floor?,1.0,0.0,GP_improb,simple_question
59,gpt-4,While the woman drank the mud spilled on the floor.,Did the woman drink the mud?,1.0,0.0,GP_improb,GP_question
60,gpt-4,The water spilled on the floor while the woman drank.,Did the water spill on the floor?,1.0,0.0,nonGP_prob,simple_question
61,gpt-4,The water spilled on the floor while the woman drank.,Did the woman drink the water?,0.0,1.0,nonGP_prob,GP_question
62,gpt-4,The mud spilled on the floor while the woman drank.,Did the mud spill on the floor?,1.0,0.0,nonGP_improb,simple_question
63,gpt-4,The mud spilled on the floor while the woman drank.,Did the woman drink the mud?,1.0,0.0,nonGP_improb,GP_question
64,gpt-4,While the snake swallowed the frog kicked vigorously.,Did the frog kick vigorously?,1.0,0.0,GP_prob,simple_question
65,gpt-4,While the snake swallowed the frog kicked vigorously.,Did the snake swallow the frog?,0.0,1.0,GP_prob,GP_question
66,gpt-4,While the snake swallowed the hippo kicked vigorously.,Did the hippo kick vigorously?,1.0,0.0,GP_improb,simple_question
67,gpt-4,While the snake swallowed the hippo kicked vigorously.,Did the snake swallow the hippo?,0.1,0.9,GP_improb,GP_question
68,gpt-4,The frog kicked vigorously while the snake swallowed.,Did the frog kick vigorously?,1.0,0.0,nonGP_prob,simple_question
69,gpt-4,The frog kicked vigorously while the snake swallowed.,Did the snake swallow the frog?,0.0,0.0,nonGP_prob,GP_question
70,gpt-4,The hippo kicked vigorously while the snake swallowed.,Did the hippo kick vigorously?,1.0,0.0,nonGP_improb,simple_question
71,gpt-4,The hippo kicked vigorously while the snake swallowed.,Did the snake swallow the hippo?,1.0,0.0,nonGP_improb,GP_question
72,gpt-4,While the lion attacked the baboon screamed in terror.,Did the baboon scream in terror?,1.0,0.0,GP_prob,simple_question
73,gpt-4,While the lion attacked the baboon screamed in terror.,Did the lion attack the baboon?,0.0,1.0,GP_prob,GP_question
74,gpt-4,While the lion attacked the penguin screamed in terror.,Did the penguin scream in terror?,1.0,0.0,GP_improb,simple_question
75,gpt-4,While the lion attacked the penguin screamed in terror.,Did the lion attack the penguin?,0.0,1.0,GP_improb,GP_question
76,gpt-4,The baboon screamed in terror while the lion attacked.,Did the baboon scream in terror?,1.0,0.0,nonGP_prob,simple_question
77,gpt-4,The baboon screamed in terror while the lion attacked.,Did the lion attack the baboon?,0.0,0.0,nonGP_prob,GP_question
78,gpt-4,The penguin screamed in terror while the lion attacked.,Did the penguin scream in terror?,1.0,0.0,nonGP_improb,simple_question
79,gpt-4,The penguin screamed in terror while the lion attacked.,Did the lion attack the penguin?,0.0,1.0,nonGP_improb,GP_question
80,gpt-4,While the maid dusted the picture tipped over.,Did the picture tip over?,1.0,0.0,GP_prob,simple_question
81,gpt-4,While the maid dusted the picture tipped over.,Did the maid dust the picture?,0.0,1.0,GP_prob,GP_question
82,gpt-4,While the maid dusted the cow tipped over.,Did the cow tip over?,1.0,0.0,GP_improb,simple_question
83,gpt-4,While the maid dusted the cow tipped over.,Did the maid dust the cow?,1.0,0.0,GP_improb,GP_question
84,gpt-4,The picture tipped over while the maid dusted.,Did the picture tip over?,1.0,0.0,nonGP_prob,simple_question
85,gpt-4,The picture tipped over while the maid dusted.,Did the maid dust the picture?,0.0,1.0,nonGP_prob,GP_question
86,gpt-4,The cow tipped over while the maid dusted.,Did the cow tip over?,1.0,0.0,nonGP_improb,simple_question
87,gpt-4,The cow tipped over while the maid dusted.,Did the maid dust the cow?,1.0,0.0,nonGP_improb,GP_question
88,gpt-4,While the teacher counted the children formed a line.,Did the children form a line?,1.0,0.0,GP_prob,simple_question
89,gpt-4,While the teacher counted the children formed a line.,Did the teacher count the children?,0.0,1.0,GP_prob,GP_question
90,gpt-4,While the teacher counted the ants formed a line.,Did the ants form a line?,1.0,0.0,GP_improb,simple_question
91,gpt-4,While the teacher counted the ants formed a line.,Did the teacher count the ants?,0.7,0.3,GP_improb,GP_question
92,gpt-4,The children formed a line while the teacher counted.,Did the children form a line?,1.0,0.0,nonGP_prob,simple_question
93,gpt-4,The children formed a line while the teacher counted.,Did the teacher count the children?,0.0,1.0,nonGP_prob,GP_question
94,gpt-4,The ants formed a line while the teacher counted.,Did the ants form a line?,1.0,0.0,nonGP_improb,simple_question
95,gpt-4,The ants formed a line while the teacher counted.,Did the teacher count the ants?,1.0,0.0,nonGP_improb,GP_question
96,gpt-4,While the champion raced the challenger stumbled and fell.,Did the challenger stumble and fall?,1.0,0.0,GP_prob,simple_question
97,gpt-4,While the champion raced the challenger stumbled and fell.,Did the champion race the challenger?,0.0,1.0,GP_prob,GP_question
98,gpt-4,While the champion raced the spectator stumbled and fell.,Did the spectator stumble and fall?,1.0,0.0,GP_improb,simple_question
99,gpt-4,While the champion raced the spectator stumbled and fell.,Did the champion race the spectator?,0.0,1.0,GP_improb,GP_question
100,gpt-4,The challenger stumbled and fell while the champion raced.,Did the challenger stumble and fall?,1.0,0.0,nonGP_prob,simple_question
101,gpt-4,The challenger stumbled and fell while the champion raced.,Did the champion race the challenger?,1.0,0.0,nonGP_prob,GP_question
102,gpt-4,The spectator stumbled and fell while the champion raced.,Did the spectator stumble and fall?,1.0,0.0,nonGP_improb,simple_question
103,gpt-4,The spectator stumbled and fell while the champion raced.,Did the champion race the spectator?,1.0,0.0,nonGP_improb,GP_question
104,gpt-4,While Jerry played the violin went out of tune.,Did the violin go out of tune?,1.0,0.0,GP_prob,simple_question
105,gpt-4,While Jerry played the violin went out of tune.,Did Jerry play the violin?,0.0,1.0,GP_prob,GP_question
106,gpt-4,While Jerry played the speakers went out of tune.,Did the speakers go out of tune?,1.0,0.0,GP_improb,simple_question
107,gpt-4,While Jerry played the speakers went out of tune.,Did Jerry play the speakers?,1.0,0.0,GP_improb,GP_question
108,gpt-4,The violin went out of tune while jerry played.,Did the violin go out of tune?,1.0,0.0,nonGP_prob,simple_question
109,gpt-4,The violin went out of tune while jerry played.,Did Jerry play the violin?,0.0,1.0,nonGP_prob,GP_question
110,gpt-4,The speakers went out of tune while jerry played.,Did the speakers go out of tune?,1.0,0.0,nonGP_improb,simple_question
111,gpt-4,The speakers went out of tune while jerry played.,Did Jerry play the speakers?,0.0,1.0,nonGP_improb,GP_question
112,gpt-4,While the girl painted the rainbow slowly faded outside.,Did the rainbow slowly fade outside?,1.0,0.0,GP_prob,simple_question
113,gpt-4,While the girl painted the rainbow slowly faded outside.,Did the girl paint the rainbow?,0.0,1.0,GP_prob,GP_question
114,gpt-4,While the girl painted the music slowly faded outside.,Did the music slowly fade outside?,1.0,0.0,GP_improb,simple_question
115,gpt-4,While the girl painted the music slowly faded outside.,Did the girl paint the music?,1.0,0.0,GP_improb,GP_question
116,gpt-4,The rainbow slowly faded outside while the girl painted.,Did the rainbow slowly fade outside?,1.0,0.0,nonGP_prob,simple_question
117,gpt-4,The rainbow slowly faded outside while the girl painted.,Did the girl paint the rainbow?,0.0,0.0,nonGP_prob,GP_question
118,gpt-4,The music slowly faded outside while the girl painted.,Did the music slowly fade outside?,1.0,0.0,nonGP_improb,simple_question
119,gpt-4,The music slowly faded outside while the girl painted.,Did the girl paint the music?,1.0,0.0,nonGP_improb,GP_question
120,gpt-4,While Kendra parked the van bumped the curb.,Did the van bump the curb?,1.0,0.0,GP_prob,simple_question
121,gpt-4,While Kendra parked the van bumped the curb.,Did Kendra park the van?,0.0,1.0,GP_prob,GP_question
122,gpt-4,While Kendra parked the horse bumped the curb.,Did the horse bump the curb?,1.0,0.0,GP_improb,simple_question
123,gpt-4,While Kendra parked the horse bumped the curb.,Did Kendra park the horse?,0.7,0.3,GP_improb,GP_question
124,gpt-4,The van bumped the curb while Kendra parked.,Did the van bump the curb?,1.0,0.0,nonGP_prob,simple_question
125,gpt-4,The van bumped the curb while Kendra parked.,Did Kendra park the van?,0.0,1.0,nonGP_prob,GP_question
126,gpt-4,The horse bumped the curb while Kendra parked.,Did the horse bump the curb?,1.0,0.0,nonGP_improb,simple_question
127,gpt-4,The horse bumped the curb while Kendra parked.,Did Kendra park the horse?,1.0,0.0,nonGP_improb,GP_question
128,gpt-4,While Angela cleaned the dog stood in the yard.,Did the dog stand in the yard?,1.0,0.0,GP_prob,simple_question
129,gpt-4,While Angela cleaned the dog stood in the yard.,Did Angela clean the dog?,1.0,0.0,GP_prob,GP_question
130,gpt-4,While Angela cleaned the mailman stood in the yard.,Did the mailman stand in the yard?,1.0,0.0,GP_improb,simple_question
131,gpt-4,While Angela cleaned the mailman stood in the yard.,Did Angela clean the mailman?,1.0,0.0,GP_improb,GP_question
132,gpt-4,The dog stood in the yard while Angela cleaned.,Did the dog stand in the yard?,1.0,0.0,nonGP_prob,simple_question
133,gpt-4,The dog stood in the yard while Angela cleaned.,Did Angela clean the dog?,1.0,0.0,nonGP_prob,GP_question
134,gpt-4,The mailman stood in the yard while Angela cleaned.,Did the mailman stand in the yard?,1.0,0.0,nonGP_improb,simple_question
135,gpt-4,The mailman stood in the yard while Angela cleaned.,Did Angela clean the mailman?,1.0,0.0,nonGP_improb,GP_question
136,gpt-4,While the sailor smoked the pipe glowed brightly.,Did the pipe glow brightly?,1.0,0.0,GP_prob,simple_question
137,gpt-4,While the sailor smoked the pipe glowed brightly.,Did the sailor smoke the pipe?,0.0,1.0,GP_prob,GP_question
138,gpt-4,While the sailor smoked the firefly glowed brightly.,Did the firefly glow brightly?,1.0,0.0,GP_improb,simple_question
139,gpt-4,While the sailor smoked the firefly glowed brightly.,Did the sailor smoke the firefly?,1.0,0.0,GP_improb,GP_question
140,gpt-4,The pipe glowed brightly while the sailor smoked.,Did the pipe glow brightly?,1.0,0.0,nonGP_prob,simple_question
141,gpt-4,The pipe glowed brightly while the sailor smoked.,Did the sailor smoke the pipe?,0.0,1.0,nonGP_prob,GP_question
142,gpt-4,The firefly glowed brightly while the sailor smoked.,Did the firefly glow brightly?,1.0,0.0,nonGP_improb,simple_question
143,gpt-4,The firefly glowed brightly while the sailor smoked.,Did the sailor smoke the firefly?,1.0,0.0,nonGP_improb,GP_question
144,gpt-4,While the tourist filmed the dancer blocked the sidewalk.,Did the dancer block the sidewalk?,1.0,0.0,GP_prob,simple_question
145,gpt-4,While the tourist filmed the dancer blocked the sidewalk.,Did the tourist film the dancer?,0.0,1.0,GP_prob,GP_question
146,gpt-4,While the tourist filmed the trashbags blocked the sidewalk.,Did the trashbags block the sidewalk?,1.0,0.0,GP_improb,simple_question
147,gpt-4,While the tourist filmed the trashbags blocked the sidewalk.,Did the tourist film the trashbags?,1.0,0.0,GP_improb,GP_question
148,gpt-4,The dancer blocked the sidewalk while the tourist filmed.,Did the dancer block the sidewalk?,1.0,0.0,nonGP_prob,simple_question
149,gpt-4,The dancer blocked the sidewalk while the tourist filmed.,Did the tourist film the dancer?,0.0,1.0,nonGP_prob,GP_question
150,gpt-4,The trashbags blocked the sidewalk while the tourist filmed.,Did the trashbags block the sidewalk?,1.0,0.0,nonGP_improb,simple_question
151,gpt-4,The trashbags blocked the sidewalk while the tourist filmed.,Did the tourist film the trashbags?,0.0,0.0,nonGP_improb,GP_question
152,gpt-4,While the athlete wrestled the opponent shouted insults.,Did the opponent shout insults?,1.0,0.0,GP_prob,simple_question
153,gpt-4,While the athlete wrestled the opponent shouted insults.,Did the athlete wrestle the opponent?,0.0,1.0,GP_prob,GP_question
154,gpt-4,While the athlete wrestled the audience shouted insults.,Did the audience shout insults?,1.0,0.0,GP_improb,simple_question
155,gpt-4,While the athlete wrestled the audience shouted insults.,Did the athlete wrestle the audience?,0.9,0.1,GP_improb,GP_question
156,gpt-4,The opponent shouted insults while the athlete wrestled.,Did the opponent shout insults?,1.0,0.0,nonGP_prob,simple_question
157,gpt-4,The opponent shouted insults while the athlete wrestled.,Did the athlete wrestle the opponent?,1.0,0.0,nonGP_prob,GP_question
158,gpt-4,The audience shouted insults while the athlete wrestled.,Did the audience shout insults?,1.0,0.0,nonGP_improb,simple_question
159,gpt-4,The audience shouted insults while the athlete wrestled.,Did the athlete wrestle the audience?,1.0,0.0,nonGP_improb,GP_question
160,gpt-4,While the warrior fought the enemy retreated.,Did the enemy retreat?,1.0,0.0,GP_prob,simple_question
161,gpt-4,While the warrior fought the enemy retreated.,Did the warrior fight the enemy?,0.0,1.0,GP_prob,GP_question
162,gpt-4,While the warrior fought the rhino retreated.,Did the rhino retreat?,1.0,0.0,GP_improb,simple_question
163,gpt-4,While the warrior fought the rhino retreated.,Did the warrior fight the rhino?,0.0,1.0,GP_improb,GP_question
164,gpt-4,The enemy retreated while the warrior fought.,Did the enemy retreat?,1.0,0.0,nonGP_prob,simple_question
165,gpt-4,The enemy retreated while the warrior fought.,Did the warrior fight the enemy?,0.0,1.0,nonGP_prob,GP_question
166,gpt-4,The rhino retreated while the warrior fought.,Did the rhino retreat?,1.0,0.0,nonGP_improb,simple_question
167,gpt-4,The rhino retreated while the warrior fought.,Did the warrior fight the rhino?,0.0,0.0,nonGP_improb,GP_question
168,gpt-4,While Harry chewed the steak fell to the floor.,Did the steak fall to the floor?,1.0,0.0,GP_prob,simple_question
169,gpt-4,While Harry chewed the steak fell to the floor.,Did Harry chew the steak?,0.0,1.0,GP_prob,GP_question
170,gpt-4,While Harry chewed the book fell to the floor.,Did the book fall to the floor?,1.0,0.0,GP_improb,simple_question
171,gpt-4,While Harry chewed the book fell to the floor.,Did Harry chew the book?,1.0,0.0,GP_improb,GP_question
172,gpt-4,The steak fell to the floor while Harry chewed.,Did the steak fall to the floor?,1.0,0.0,nonGP_prob,simple_question
173,gpt-4,The steak fell to the floor while Harry chewed.,Did Harry chew the steak?,0.0,1.0,nonGP_prob,GP_question
174,gpt-4,The book fell to the floor while Harry chewed.,Did the book fall to the floor?,1.0,0.0,nonGP_improb,simple_question
175,gpt-4,The book fell to the floor while Harry chewed.,Did Harry chew the book?,1.0,0.0,nonGP_improb,GP_question
176,gpt-4,While Bill ate the turkey sat on the table.,Did the turkey sit on the table?,1.0,0.0,GP_prob,simple_question
177,gpt-4,While Bill ate the turkey sat on the table.,Did Bill eat the turkey?,0.95,0.05,GP_prob,GP_question
178,gpt-4,While Bill ate the baby sat on the table.,Did the baby sit on the table?,1.0,0.0,GP_improb,simple_question
179,gpt-4,While Bill ate the baby sat on the table.,Did Bill eat the baby?,1.0,0.0,GP_improb,GP_question
180,gpt-4,The turkey sat on the table while Bill ate.,Did the turkey sit on the table?,1.0,0.0,nonGP_prob,simple_question
181,gpt-4,The turkey sat on the table while Bill ate.,Did Bill eat the turkey?,0.0,0.0,nonGP_prob,GP_question
182,gpt-4,The baby sat on the table while Bill ate.,Did the baby sit on the table?,1.0,0.0,nonGP_improb,simple_question
183,gpt-4,The baby sat on the table while Bill ate.,Did Bill eat the baby?,1.0,0.0,nonGP_improb,GP_question
184,gpt-4,While Janet baked the bread rose in the oven.,Did the bread rise in the oven?,1.0,0.0,GP_prob,simple_question
185,gpt-4,While Janet baked the bread rose in the oven.,Did Janet bake the bread?,0.0,1.0,GP_prob,GP_question
186,gpt-4,While Janet baked the pressure rose in the oven.,Did the pressure rise in the oven?,1.0,0.0,GP_improb,simple_question
187,gpt-4,While Janet baked the pressure rose in the oven.,Did Janet bake the pressure?,1.0,0.0,GP_improb,GP_question
188,gpt-4,The bread rose in the oven while Janet baked.,Did the bread rise in the oven?,1.0,0.0,nonGP_prob,simple_question
189,gpt-4,The bread rose in the oven while Janet baked.,Did Janet bake the bread?,0.0,1.0,nonGP_prob,GP_question
190,gpt-4,The pressure rose in the oven while Janet baked.,Did the pressure rise in the oven?,1.0,0.0,nonGP_improb,simple_question
191,gpt-4,The pressure rose in the oven while Janet baked.,Did Janet bake the pressure?,1.0,0.0,nonGP_improb,GP_question
192,gpt-4,While the public cheered the team left the restaurant.,Did the team leave the restaurant?,1.0,0.0,GP_prob,simple_question
193,gpt-4,While the public cheered the team left the restaurant.,Did the public cheer the team?,0.0,1.0,GP_prob,GP_question
194,gpt-4,While the public cheered the rats left the restaurant.,Did the rats leave the restaurant?,1.0,0.0,GP_improb,simple_question
195,gpt-4,While the public cheered the rats left the restaurant.,Did the public cheer the rats?,1.0,0.0,GP_improb,GP_question
196,gpt-4,The team left the restaurant while the public cheered.,Did the team leave the restaurant?,1.0,0.0,nonGP_prob,simple_question
197,gpt-4,The team left the restaurant while the public cheered.,Did the public cheer the team?,0.0,1.0,nonGP_prob,GP_question
198,gpt-4,The rats left the restaurant while the public cheered.,Did the rats leave the restaurant?,1.0,0.0,nonGP_improb,simple_question
199,gpt-4,The rats left the restaurant while the public cheered.,Did the public cheer the rats?,0.0,1.0,nonGP_improb,GP_question
200,gpt-4,While the cleaner mopped the floor was filled with stains.,Was the floor filled with stains?,1.0,0.0,GP_prob,simple_question
201,gpt-4,While the cleaner mopped the floor was filled with stains.,Did the cleaner mop the floor?,0.0,1.0,GP_prob,GP_question
202,gpt-4,While the cleaner mopped the ceiling was filled with stains.,Was the ceiling filled with stains?,1.0,0.0,GP_improb,simple_question
203,gpt-4,While the cleaner mopped the ceiling was filled with stains.,Did the cleaner mop the ceiling?,0.6,0.4,GP_improb,GP_question
204,gpt-4,The floor was filled with stains while the cleaner mopped.,Was the floor filled with stains?,1.0,0.0,nonGP_prob,simple_question
205,gpt-4,The floor was filled with stains while the cleaner mopped.,Did the cleaner mop the floor?,0.0,1.0,nonGP_prob,GP_question
206,gpt-4,The ceiling was filled with stains while the cleaner mopped.,Was the ceiling filled with stains?,1.0,0.0,nonGP_improb,simple_question
207,gpt-4,The ceiling was filled with stains while the cleaner mopped.,Did the cleaner mop the ceiling?,1.0,0.0,nonGP_improb,GP_question
208,gpt-4,While the chef cooked the meal impressed the couple.,Did the meal impress the couple?,1.0,0.0,GP_prob,simple_question
209,gpt-4,While the chef cooked the meal impressed the couple.,Did the chef cook the meal?,0.85,0.15,GP_prob,GP_question
210,gpt-4,While the chef cooked the cat impressed the couple.,Did the cat impress the couple?,1.0,0.0,GP_improb,simple_question
211,gpt-4,While the chef cooked the cat impressed the couple.,Did the chef cook the cat?,1.0,0.0,GP_improb,GP_question
212,gpt-4,The meal impressed the couple while the chef cooked.,Did the meal impress the couple?,1.0,0.0,nonGP_prob,simple_question
213,gpt-4,The meal impressed the couple while the chef cooked.,Did the chef cook the meal?,0.0,1.0,nonGP_prob,GP_question
214,gpt-4,The cat impressed the couple while the chef cooked.,Did the cat impress the couple?,1.0,0.0,nonGP_improb,simple_question
215,gpt-4,The cat impressed the couple while the chef cooked.,Did the chef cook the cat?,1.0,0.0,nonGP_improb,GP_question
216,gpt-4,While the child finished the homework waited on the table.,Did the homework wait on the table?,1.0,0.0,GP_prob,simple_question
217,gpt-4,While the child finished the homework waited on the table.,Did the child finish the homework?,0.0,1.0,GP_prob,GP_question
218,gpt-4,While the child finished the tax forms waited on the table.,Did the tax forms wait on the table?,1.0,0.0,GP_improb,simple_question
219,gpt-4,While the child finished the tax forms waited on the table.,Did the child finish the tax forms?,0.0,1.0,GP_improb,GP_question
220,gpt-4,The homework waited on the table while the child finished.,Did the homework wait on the table?,1.0,0.0,nonGP_prob,simple_question
221,gpt-4,The homework waited on the table while the child finished.,Did the child finish the homework?,1.0,0.0,nonGP_prob,GP_question
222,gpt-4,The tax forms waited on the table while the child finished.,Did the tax forms wait on the table?,1.0,0.0,nonGP_improb,simple_question
223,gpt-4,The tax forms waited on the table while the child finished.,Did the child finish the tax forms?,1.0,0.0,nonGP_improb,GP_question
224,gpt-4,While the student knitted the sweater sold to the highest bidder.,Did the sweater sell to the highest bidder?,1.0,0.0,GP_prob,simple_question
225,gpt-4,While the student knitted the sweater sold to the highest bidder.,Did the student knit the sweater?,0.0,1.0,GP_prob,GP_question
226,gpt-4,While the student knitted the painting sold to the highest bidder.,Did the painting sell to the highest bidder?,1.0,0.0,GP_improb,simple_question
227,gpt-4,While the student knitted the painting sold to the highest bidder.,Did the student knit the painting?,1.0,0.0,GP_improb,GP_question
228,gpt-4,The sweater sold to the highest bidder while the student knitted.,Did the sweater sell to the highest bidder?,1.0,0.0,nonGP_prob,simple_question
229,gpt-4,The sweater sold to the highest bidder while the student knitted.,Did the student knit the sweater?,1.0,0.0,nonGP_prob,GP_question
230,gpt-4,The painting sold to the highest bidder while the student knitted.,Did the painting sell to the highest bidder?,1.0,0.0,nonGP_improb,simple_question
231,gpt-4,The painting sold to the highest bidder while the student knitted.,Did the student knit the painting?,1.0,0.0,nonGP_improb,GP_question
232,gpt-4,While the astronomer observed the comet lit up the room.,Did the comet light up the room?,1.0,0.0,GP_prob,simple_question
233,gpt-4,While the astronomer observed the comet lit up the room.,Did the astronomer observe the comet?,0.0,1.0,GP_prob,GP_question
234,gpt-4,While the astronomer observed the lightbulb lit up the room.,Did the lightbulb light up the room?,1.0,0.0,GP_improb,simple_question
