,model,sentence,question,correct,incorrect,sent_type,quest_type
39,meta-llama/Llama-3.1-70B,The melody represented modern times style while the architect drew.,Did the architect draw the melody?,1.0,0.0,nonGP_improb,GP_question
40,meta-llama/Llama-3.1-70B,While the chef stirred the soup boiled over.,Did the soup boil over?,,,GP_prob,simple_question
41,meta-llama/Llama-3.1-70B,While the chef stirred the soup boiled over.,Did the chef stir the soup?,,,GP_prob,GP_question
42,meta-llama/Llama-3.1-70B,While the chef stirred the acid boiled over.,Did the acid boil over?,,,GP_improb,simple_question
43,meta-llama/Llama-3.1-70B,While the chef stirred the acid boiled over.,Did the chef stir the acid?,,,GP_improb,GP_question
44,meta-llama/Llama-3.1-70B,The soup boiled over while the chef stirred.,Did the soup boil over?,1.0,0.0,nonGP_prob,simple_question
45,meta-llama/Llama-3.1-70B,The soup boiled over while the chef stirred.,Did the chef stir the soup?,,,nonGP_prob,GP_question
46,meta-llama/Llama-3.1-70B,The acid boiled over while the chef stirred.,Did the acid boil over?,1.0,0.0,nonGP_improb,simple_question
47,meta-llama/Llama-3.1-70B,The acid boiled over while the chef stirred.,Did the chef stir the acid?,,,nonGP_improb,GP_question
48,meta-llama/Llama-3.1-70B,While the tourist explored the tunnel echoed with mysterious sounds.,Did the tunnel echo with mysterious sounds?,1.0,0.0,GP_prob,simple_question
49,meta-llama/Llama-3.1-70B,While the tourist explored the tunnel echoed with mysterious sounds.,Did the tourist explore the tunnel?,,,GP_prob,GP_question
50,meta-llama/Llama-3.1-70B,While the tourist explored the trunk echoed with mysterious sounds.,Did the trunk echo with mysterious sounds?,,,GP_improb,simple_question
51,meta-llama/Llama-3.1-70B,While the tourist explored the trunk echoed with mysterious sounds.,Did the tourist explore the trunk?,,,GP_improb,GP_question
52,meta-llama/Llama-3.1-70B,The tunnel echoed with mysterious sounds while the tourist explored.,Did the tunnel echo with mysterious sounds?,1.0,0.0,nonGP_prob,simple_question
53,meta-llama/Llama-3.1-70B,The tunnel echoed with mysterious sounds while the tourist explored.,Did the tourist explore the tunnel?,0.0,1.0,nonGP_prob,GP_question
54,meta-llama/Llama-3.1-70B,The trunk echoed with mysterious sounds while the tourist explored.,Did the trunk echo with mysterious sounds?,1.0,0.0,nonGP_improb,simple_question
55,meta-llama/Llama-3.1-70B,The trunk echoed with mysterious sounds while the tourist explored.,Did the tourist explore the trunk?,0.0,1.0,nonGP_improb,GP_question
56,meta-llama/Llama-3.1-70B,While the woman drank the water spilled on the floor.,Did the water spill on the floor?,,,GP_prob,simple_question
57,meta-llama/Llama-3.1-70B,While the woman drank the water spilled on the floor.,Did the woman drink the water?,,,GP_prob,GP_question
58,meta-llama/Llama-3.1-70B,While the woman drank the mud spilled on the floor.,Did the mud spill on the floor?,,,GP_improb,simple_question
59,meta-llama/Llama-3.1-70B,While the woman drank the mud spilled on the floor.,Did the woman drink the mud?,,,GP_improb,GP_question
60,meta-llama/Llama-3.1-70B,The water spilled on the floor while the woman drank.,Did the water spill on the floor?,1.0,0.0,nonGP_prob,simple_question
61,meta-llama/Llama-3.1-70B,The water spilled on the floor while the woman drank.,Did the woman drink the water?,0.0,1.0,nonGP_prob,GP_question
62,meta-llama/Llama-3.1-70B,The mud spilled on the floor while the woman drank.,Did the mud spill on the floor?,1.0,0.0,nonGP_improb,simple_question
63,meta-llama/Llama-3.1-70B,The mud spilled on the floor while the woman drank.,Did the woman drink the mud?,1.0,0.0,nonGP_improb,GP_question
64,meta-llama/Llama-3.1-70B,While the snake swallowed the frog kicked vigorously.,Did the frog kick vigorously?,1.0,0.0,GP_prob,simple_question
65,meta-llama/Llama-3.1-70B,While the snake swallowed the frog kicked vigorously.,Did the snake swallow the frog?,,,GP_prob,GP_question
66,meta-llama/Llama-3.1-70B,While the snake swallowed the hippo kicked vigorously.,Did the hippo kick vigorously?,,,GP_improb,simple_question
67,meta-llama/Llama-3.1-70B,While the snake swallowed the hippo kicked vigorously.,Did the snake swallow the hippo?,1.0,0.0,GP_improb,GP_question
68,meta-llama/Llama-3.1-70B,The frog kicked vigorously while the snake swallowed.,Did the frog kick vigorously?,1.0,0.0,nonGP_prob,simple_question
69,meta-llama/Llama-3.1-70B,The frog kicked vigorously while the snake swallowed.,Did the snake swallow the frog?,0.0,1.0,nonGP_prob,GP_question
70,meta-llama/Llama-3.1-70B,The hippo kicked vigorously while the snake swallowed.,Did the hippo kick vigorously?,1.0,0.0,nonGP_improb,simple_question
71,meta-llama/Llama-3.1-70B,The hippo kicked vigorously while the snake swallowed.,Did the snake swallow the hippo?,1.0,0.0,nonGP_improb,GP_question
72,meta-llama/Llama-3.1-70B,While the lion attacked the baboon screamed in terror.,Did the baboon scream in terror?,1.0,0.0,GP_prob,simple_question
73,meta-llama/Llama-3.1-70B,While the lion attacked the baboon screamed in terror.,Did the lion attack the baboon?,0.0,1.0,GP_prob,GP_question
74,meta-llama/Llama-3.1-70B,While the lion attacked the penguin screamed in terror.,Did the penguin scream in terror?,1.0,0.0,GP_improb,simple_question
75,meta-llama/Llama-3.1-70B,While the lion attacked the penguin screamed in terror.,Did the lion attack the penguin?,0.0,1.0,GP_improb,GP_question
76,meta-llama/Llama-3.1-70B,The baboon screamed in terror while the lion attacked.,Did the baboon scream in terror?,1.0,0.0,nonGP_prob,simple_question
77,meta-llama/Llama-3.1-70B,The baboon screamed in terror while the lion attacked.,Did the lion attack the baboon?,0.0,1.0,nonGP_prob,GP_question
78,meta-llama/Llama-3.1-70B,The penguin screamed in terror while the lion attacked.,Did the penguin scream in terror?,1.0,0.0,nonGP_improb,simple_question
79,meta-llama/Llama-3.1-70B,The penguin screamed in terror while the lion attacked.,Did the lion attack the penguin?,0.0,1.0,nonGP_improb,GP_question
80,meta-llama/Llama-3.1-70B,While the maid dusted the picture tipped over.,Did the picture tip over?,1.0,0.0,GP_prob,simple_question
81,meta-llama/Llama-3.1-70B,While the maid dusted the picture tipped over.,Did the maid dust the picture?,,,GP_prob,GP_question
82,meta-llama/Llama-3.1-70B,While the maid dusted the cow tipped over.,Did the cow tip over?,1.0,0.0,GP_improb,simple_question
83,meta-llama/Llama-3.1-70B,While the maid dusted the cow tipped over.,Did the maid dust the cow?,1.0,0.0,GP_improb,GP_question
84,meta-llama/Llama-3.1-70B,The picture tipped over while the maid dusted.,Did the picture tip over?,1.0,0.0,nonGP_prob,simple_question
85,meta-llama/Llama-3.1-70B,The picture tipped over while the maid dusted.,Did the maid dust the picture?,0.0,1.0,nonGP_prob,GP_question
86,meta-llama/Llama-3.1-70B,The cow tipped over while the maid dusted.,Did the cow tip over?,1.0,0.0,nonGP_improb,simple_question
87,meta-llama/Llama-3.1-70B,The cow tipped over while the maid dusted.,Did the maid dust the cow?,,,nonGP_improb,GP_question
88,meta-llama/Llama-3.1-70B,While the teacher counted the children formed a line.,Did the children form a line?,1.0,0.0,GP_prob,simple_question
89,meta-llama/Llama-3.1-70B,While the teacher counted the children formed a line.,Did the teacher count the children?,,,GP_prob,GP_question
90,meta-llama/Llama-3.1-70B,While the teacher counted the ants formed a line.,Did the ants form a line?,1.0,0.0,GP_improb,simple_question
91,meta-llama/Llama-3.1-70B,While the teacher counted the ants formed a line.,Did the teacher count the ants?,,,GP_improb,GP_question
92,meta-llama/Llama-3.1-70B,The children formed a line while the teacher counted.,Did the children form a line?,1.0,0.0,nonGP_prob,simple_question
93,meta-llama/Llama-3.1-70B,The children formed a line while the teacher counted.,Did the teacher count the children?,,,nonGP_prob,GP_question
94,meta-llama/Llama-3.1-70B,The ants formed a line while the teacher counted.,Did the ants form a line?,1.0,0.0,nonGP_improb,simple_question
95,meta-llama/Llama-3.1-70B,The ants formed a line while the teacher counted.,Did the teacher count the ants?,,,nonGP_improb,GP_question
96,meta-llama/Llama-3.1-70B,While the champion raced the challenger stumbled and fell.,Did the challenger stumble and fall?,1.0,0.0,GP_prob,simple_question
97,meta-llama/Llama-3.1-70B,While the champion raced the challenger stumbled and fell.,Did the champion race the challenger?,0.0,1.0,GP_prob,GP_question
98,meta-llama/Llama-3.1-70B,While the champion raced the spectator stumbled and fell.,Did the spectator stumble and fall?,1.0,0.0,GP_improb,simple_question
99,meta-llama/Llama-3.1-70B,While the champion raced the spectator stumbled and fell.,Did the champion race the spectator?,1.0,0.0,GP_improb,GP_question
100,meta-llama/Llama-3.1-70B,The challenger stumbled and fell while the champion raced.,Did the challenger stumble and fall?,1.0,0.0,nonGP_prob,simple_question
101,meta-llama/Llama-3.1-70B,The challenger stumbled and fell while the champion raced.,Did the champion race the challenger?,0.0,1.0,nonGP_prob,GP_question
102,meta-llama/Llama-3.1-70B,The spectator stumbled and fell while the champion raced.,Did the spectator stumble and fall?,,,nonGP_improb,simple_question
103,meta-llama/Llama-3.1-70B,The spectator stumbled and fell while the champion raced.,Did the champion race the spectator?,1.0,0.0,nonGP_improb,GP_question
104,meta-llama/Llama-3.1-70B,While Jerry played the violin went out of tune.,Did the violin go out of tune?,1.0,0.0,GP_prob,simple_question
105,meta-llama/Llama-3.1-70B,While Jerry played the violin went out of tune.,Did Jerry play the violin?,1.0,0.0,GP_prob,GP_question
106,meta-llama/Llama-3.1-70B,While Jerry played the speakers went out of tune.,Did the speakers go out of tune?,1.0,0.0,GP_improb,simple_question
107,meta-llama/Llama-3.1-70B,While Jerry played the speakers went out of tune.,Did Jerry play the speakers?,1.0,0.0,GP_improb,GP_question
108,meta-llama/Llama-3.1-70B,The violin went out of tune while jerry played.,Did the violin go out of tune?,1.0,0.0,nonGP_prob,simple_question
109,meta-llama/Llama-3.1-70B,The violin went out of tune while jerry played.,Did Jerry play the violin?,0.0,1.0,nonGP_prob,GP_question
110,meta-llama/Llama-3.1-70B,The speakers went out of tune while jerry played.,Did the speakers go out of tune?,1.0,0.0,nonGP_improb,simple_question
111,meta-llama/Llama-3.1-70B,The speakers went out of tune while jerry played.,Did Jerry play the speakers?,0.0,1.0,nonGP_improb,GP_question
112,meta-llama/Llama-3.1-70B,While the girl painted the rainbow slowly faded outside.,Did the rainbow slowly fade outside?,1.0,0.0,GP_prob,simple_question
113,meta-llama/Llama-3.1-70B,While the girl painted the rainbow slowly faded outside.,Did the girl paint the rainbow?,1.0,0.0,GP_prob,GP_question
114,meta-llama/Llama-3.1-70B,While the girl painted the music slowly faded outside.,Did the music slowly fade outside?,1.0,0.0,GP_improb,simple_question
115,meta-llama/Llama-3.1-70B,While the girl painted the music slowly faded outside.,Did the girl paint the music?,1.0,0.0,GP_improb,GP_question
116,meta-llama/Llama-3.1-70B,The rainbow slowly faded outside while the girl painted.,Did the rainbow slowly fade outside?,1.0,0.0,nonGP_prob,simple_question
117,meta-llama/Llama-3.1-70B,The rainbow slowly faded outside while the girl painted.,Did the girl paint the rainbow?,,,nonGP_prob,GP_question
118,meta-llama/Llama-3.1-70B,The music slowly faded outside while the girl painted.,Did the music slowly fade outside?,1.0,0.0,nonGP_improb,simple_question
119,meta-llama/Llama-3.1-70B,The music slowly faded outside while the girl painted.,Did the girl paint the music?,1.0,0.0,nonGP_improb,GP_question
120,meta-llama/Llama-3.1-70B,While Kendra parked the van bumped the curb.,Did the van bump the curb?,1.0,0.0,GP_prob,simple_question
121,meta-llama/Llama-3.1-70B,While Kendra parked the van bumped the curb.,Did Kendra park the van?,,,GP_prob,GP_question
122,meta-llama/Llama-3.1-70B,While Kendra parked the horse bumped the curb.,Did the horse bump the curb?,1.0,0.0,GP_improb,simple_question
123,meta-llama/Llama-3.1-70B,While Kendra parked the horse bumped the curb.,Did Kendra park the horse?,1.0,0.0,GP_improb,GP_question
124,meta-llama/Llama-3.1-70B,The van bumped the curb while Kendra parked.,Did the van bump the curb?,1.0,0.0,nonGP_prob,simple_question
125,meta-llama/Llama-3.1-70B,The van bumped the curb while Kendra parked.,Did Kendra park the van?,0.0,1.0,nonGP_prob,GP_question
126,meta-llama/Llama-3.1-70B,The horse bumped the curb while Kendra parked.,Did the horse bump the curb?,1.0,0.0,nonGP_improb,simple_question
127,meta-llama/Llama-3.1-70B,The horse bumped the curb while Kendra parked.,Did Kendra park the horse?,1.0,0.0,nonGP_improb,GP_question
128,meta-llama/Llama-3.1-70B,While Angela cleaned the dog stood in the yard.,Did the dog stand in the yard?,1.0,0.0,GP_prob,simple_question
129,meta-llama/Llama-3.1-70B,While Angela cleaned the dog stood in the yard.,Did Angela clean the dog?,1.0,0.0,GP_prob,GP_question
130,meta-llama/Llama-3.1-70B,While Angela cleaned the mailman stood in the yard.,Did the mailman stand in the yard?,1.0,0.0,GP_improb,simple_question
131,meta-llama/Llama-3.1-70B,While Angela cleaned the mailman stood in the yard.,Did Angela clean the mailman?,1.0,0.0,GP_improb,GP_question
132,meta-llama/Llama-3.1-70B,The dog stood in the yard while Angela cleaned.,Did the dog stand in the yard?,1.0,0.0,nonGP_prob,simple_question
133,meta-llama/Llama-3.1-70B,The dog stood in the yard while Angela cleaned.,Did Angela clean the dog?,1.0,0.0,nonGP_prob,GP_question
134,meta-llama/Llama-3.1-70B,The mailman stood in the yard while Angela cleaned.,Did the mailman stand in the yard?,1.0,0.0,nonGP_improb,simple_question
135,meta-llama/Llama-3.1-70B,The mailman stood in the yard while Angela cleaned.,Did Angela clean the mailman?,1.0,0.0,nonGP_improb,GP_question
136,meta-llama/Llama-3.1-70B,While the sailor smoked the pipe glowed brightly.,Did the pipe glow brightly?,1.0,0.0,GP_prob,simple_question
137,meta-llama/Llama-3.1-70B,While the sailor smoked the pipe glowed brightly.,Did the sailor smoke the pipe?,0.0,1.0,GP_prob,GP_question
138,meta-llama/Llama-3.1-70B,While the sailor smoked the firefly glowed brightly.,Did the firefly glow brightly?,1.0,0.0,GP_improb,simple_question
139,meta-llama/Llama-3.1-70B,While the sailor smoked the firefly glowed brightly.,Did the sailor smoke the firefly?,1.0,0.0,GP_improb,GP_question
140,meta-llama/Llama-3.1-70B,The pipe glowed brightly while the sailor smoked.,Did the pipe glow brightly?,1.0,0.0,nonGP_prob,simple_question
141,meta-llama/Llama-3.1-70B,The pipe glowed brightly while the sailor smoked.,Did the sailor smoke the pipe?,0.0,1.0,nonGP_prob,GP_question
142,meta-llama/Llama-3.1-70B,The firefly glowed brightly while the sailor smoked.,Did the firefly glow brightly?,1.0,0.0,nonGP_improb,simple_question
143,meta-llama/Llama-3.1-70B,The firefly glowed brightly while the sailor smoked.,Did the sailor smoke the firefly?,1.0,0.0,nonGP_improb,GP_question
144,meta-llama/Llama-3.1-70B,While the tourist filmed the dancer blocked the sidewalk.,Did the dancer block the sidewalk?,,,GP_prob,simple_question
145,meta-llama/Llama-3.1-70B,While the tourist filmed the dancer blocked the sidewalk.,Did the tourist film the dancer?,1.0,0.0,GP_prob,GP_question
146,meta-llama/Llama-3.1-70B,While the tourist filmed the trashbags blocked the sidewalk.,Did the trashbags block the sidewalk?,1.0,0.0,GP_improb,simple_question
147,meta-llama/Llama-3.1-70B,While the tourist filmed the trashbags blocked the sidewalk.,Did the tourist film the trashbags?,1.0,0.0,GP_improb,GP_question
148,meta-llama/Llama-3.1-70B,The dancer blocked the sidewalk while the tourist filmed.,Did the dancer block the sidewalk?,,,nonGP_prob,simple_question
149,meta-llama/Llama-3.1-70B,The dancer blocked the sidewalk while the tourist filmed.,Did the tourist film the dancer?,0.0,1.0,nonGP_prob,GP_question
150,meta-llama/Llama-3.1-70B,The trashbags blocked the sidewalk while the tourist filmed.,Did the trashbags block the sidewalk?,1.0,0.0,nonGP_improb,simple_question
151,meta-llama/Llama-3.1-70B,The trashbags blocked the sidewalk while the tourist filmed.,Did the tourist film the trashbags?,0.0,1.0,nonGP_improb,GP_question
152,meta-llama/Llama-3.1-70B,While the athlete wrestled the opponent shouted insults.,Did the opponent shout insults?,1.0,0.0,GP_prob,simple_question
153,meta-llama/Llama-3.1-70B,While the athlete wrestled the opponent shouted insults.,Did the athlete wrestle the opponent?,0.0,1.0,GP_prob,GP_question
154,meta-llama/Llama-3.1-70B,While the athlete wrestled the audience shouted insults.,Did the audience shout insults?,1.0,0.0,GP_improb,simple_question
155,meta-llama/Llama-3.1-70B,While the athlete wrestled the audience shouted insults.,Did the athlete wrestle the audience?,1.0,0.0,GP_improb,GP_question
156,meta-llama/Llama-3.1-70B,The opponent shouted insults while the athlete wrestled.,Did the opponent shout insults?,1.0,0.0,nonGP_prob,simple_question
157,meta-llama/Llama-3.1-70B,The opponent shouted insults while the athlete wrestled.,Did the athlete wrestle the opponent?,0.0,1.0,nonGP_prob,GP_question
158,meta-llama/Llama-3.1-70B,The audience shouted insults while the athlete wrestled.,Did the audience shout insults?,1.0,0.0,nonGP_improb,simple_question
159,meta-llama/Llama-3.1-70B,The audience shouted insults while the athlete wrestled.,Did the athlete wrestle the audience?,1.0,0.0,nonGP_improb,GP_question
160,meta-llama/Llama-3.1-70B,While the warrior fought the enemy retreated.,Did the enemy retreat?,1.0,0.0,GP_prob,simple_question
161,meta-llama/Llama-3.1-70B,While the warrior fought the enemy retreated.,Did the warrior fight the enemy?,0.0,1.0,GP_prob,GP_question
162,meta-llama/Llama-3.1-70B,While the warrior fought the rhino retreated.,Did the rhino retreat?,1.0,0.0,GP_improb,simple_question
163,meta-llama/Llama-3.1-70B,While the warrior fought the rhino retreated.,Did the warrior fight the rhino?,0.0,1.0,GP_improb,GP_question
164,meta-llama/Llama-3.1-70B,The enemy retreated while the warrior fought.,Did the enemy retreat?,1.0,0.0,nonGP_prob,simple_question
165,meta-llama/Llama-3.1-70B,The enemy retreated while the warrior fought.,Did the warrior fight the enemy?,0.0,1.0,nonGP_prob,GP_question
166,meta-llama/Llama-3.1-70B,The rhino retreated while the warrior fought.,Did the rhino retreat?,1.0,0.0,nonGP_improb,simple_question
167,meta-llama/Llama-3.1-70B,The rhino retreated while the warrior fought.,Did the warrior fight the rhino?,0.0,1.0,nonGP_improb,GP_question
168,meta-llama/Llama-3.1-70B,While Harry chewed the steak fell to the floor.,Did the steak fall to the floor?,1.0,0.0,GP_prob,simple_question
169,meta-llama/Llama-3.1-70B,While Harry chewed the steak fell to the floor.,Did Harry chew the steak?,1.0,0.0,GP_prob,GP_question
170,meta-llama/Llama-3.1-70B,While Harry chewed the book fell to the floor.,Did the book fall to the floor?,,,GP_improb,simple_question
171,meta-llama/Llama-3.1-70B,While Harry chewed the book fell to the floor.,Did Harry chew the book?,1.0,0.0,GP_improb,GP_question
172,meta-llama/Llama-3.1-70B,The steak fell to the floor while Harry chewed.,Did the steak fall to the floor?,1.0,0.0,nonGP_prob,simple_question
173,meta-llama/Llama-3.1-70B,The steak fell to the floor while Harry chewed.,Did Harry chew the steak?,0.0,1.0,nonGP_prob,GP_question
174,meta-llama/Llama-3.1-70B,The book fell to the floor while Harry chewed.,Did the book fall to the floor?,1.0,0.0,nonGP_improb,simple_question
175,meta-llama/Llama-3.1-70B,The book fell to the floor while Harry chewed.,Did Harry chew the book?,1.0,0.0,nonGP_improb,GP_question
176,meta-llama/Llama-3.1-70B,While Bill ate the turkey sat on the table.,Did the turkey sit on the table?,,,GP_prob,simple_question
177,meta-llama/Llama-3.1-70B,While Bill ate the turkey sat on the table.,Did Bill eat the turkey?,1.0,0.0,GP_prob,GP_question
178,meta-llama/Llama-3.1-70B,While Bill ate the baby sat on the table.,Did the baby sit on the table?,1.0,0.0,GP_improb,simple_question
179,meta-llama/Llama-3.1-70B,While Bill ate the baby sat on the table.,Did Bill eat the baby?,1.0,0.0,GP_improb,GP_question
180,meta-llama/Llama-3.1-70B,The turkey sat on the table while Bill ate.,Did the turkey sit on the table?,1.0,0.0,nonGP_prob,simple_question
181,meta-llama/Llama-3.1-70B,The turkey sat on the table while Bill ate.,Did Bill eat the turkey?,1.0,0.0,nonGP_prob,GP_question
182,meta-llama/Llama-3.1-70B,The baby sat on the table while Bill ate.,Did the baby sit on the table?,1.0,0.0,nonGP_improb,simple_question
183,meta-llama/Llama-3.1-70B,The baby sat on the table while Bill ate.,Did Bill eat the baby?,1.0,0.0,nonGP_improb,GP_question
184,meta-llama/Llama-3.1-70B,While Janet baked the bread rose in the oven.,Did the bread rise in the oven?,1.0,0.0,GP_prob,simple_question
185,meta-llama/Llama-3.1-70B,While Janet baked the bread rose in the oven.,Did Janet bake the bread?,,,GP_prob,GP_question
186,meta-llama/Llama-3.1-70B,While Janet baked the pressure rose in the oven.,Did the pressure rise in the oven?,1.0,0.0,GP_improb,simple_question
187,meta-llama/Llama-3.1-70B,While Janet baked the pressure rose in the oven.,Did Janet bake the pressure?,1.0,0.0,GP_improb,GP_question
188,meta-llama/Llama-3.1-70B,The bread rose in the oven while Janet baked.,Did the bread rise in the oven?,,,nonGP_prob,simple_question
189,meta-llama/Llama-3.1-70B,The bread rose in the oven while Janet baked.,Did Janet bake the bread?,0.0,1.0,nonGP_prob,GP_question
190,meta-llama/Llama-3.1-70B,The pressure rose in the oven while Janet baked.,Did the pressure rise in the oven?,1.0,0.0,nonGP_improb,simple_question
191,meta-llama/Llama-3.1-70B,The pressure rose in the oven while Janet baked.,Did Janet bake the pressure?,1.0,0.0,nonGP_improb,GP_question
192,meta-llama/Llama-3.1-70B,While the public cheered the team left the restaurant.,Did the team leave the restaurant?,1.0,0.0,GP_prob,simple_question
193,meta-llama/Llama-3.1-70B,While the public cheered the team left the restaurant.,Did the public cheer the team?,0.0,1.0,GP_prob,GP_question
194,meta-llama/Llama-3.1-70B,While the public cheered the rats left the restaurant.,Did the rats leave the restaurant?,1.0,0.0,GP_improb,simple_question
195,meta-llama/Llama-3.1-70B,While the public cheered the rats left the restaurant.,Did the public cheer the rats?,1.0,0.0,GP_improb,GP_question
196,meta-llama/Llama-3.1-70B,The team left the restaurant while the public cheered.,Did the team leave the restaurant?,1.0,0.0,nonGP_prob,simple_question
197,meta-llama/Llama-3.1-70B,The team left the restaurant while the public cheered.,Did the public cheer the team?,0.0,1.0,nonGP_prob,GP_question
198,meta-llama/Llama-3.1-70B,The rats left the restaurant while the public cheered.,Did the rats leave the restaurant?,1.0,0.0,nonGP_improb,simple_question
199,meta-llama/Llama-3.1-70B,The rats left the restaurant while the public cheered.,Did the public cheer the rats?,0.0,1.0,nonGP_improb,GP_question
200,meta-llama/Llama-3.1-70B,While the cleaner mopped the floor was filled with stains.,Was the floor filled with stains?,,,GP_prob,simple_question
201,meta-llama/Llama-3.1-70B,While the cleaner mopped the floor was filled with stains.,Did the cleaner mop the floor?,,,GP_prob,GP_question
